target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.824859;0.140113;0.035028;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.974790;0.016807;0.006723;0.001681
X_4;X_1,X_2;0,1,2,3;0;2;0.676850;0.201969;0.096945;0.024236
X_4;X_1,X_2;0,1,2,3;0;3;0.433998;0.339601;0.169801;0.056600
X_4;X_1,X_2;0,1,2,3;1;0;0.694703;0.228973;0.061059;0.015265
X_4;X_1,X_2;0,1,2,3;1;1;0.600498;0.266334;0.106534;0.026633
X_4;X_1,X_2;0,1,2,3;1;2;0.390897;0.332238;0.221492;0.055373
X_4;X_1,X_2;0,1,2,3;1;3;0.302136;0.375773;0.268409;0.053682
X_4;X_1,X_2;0,1,2,3;2;0;0.468812;0.354125;0.141650;0.035413
X_4;X_1,X_2;0,1,2,3;2;1;0.453236;0.318946;0.182255;0.045564
X_4;X_1,X_2;0,1,2,3;2;2;0.113528;0.227055;0.432362;0.227055
X_4;X_1,X_2;0,1,2,3;2;3;0.056060;0.168180;0.383342;0.392419
X_4;X_1,X_2;0,1,2,3;3;0;0.459549;0.315263;0.180150;0.045038
X_4;X_1,X_2;0,1,2,3;3;1;0.343608;0.281311;0.281311;0.093770
X_4;X_1,X_2;0,1,2,3;3;2;0.043915;0.087830;0.351321;0.516933
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.033752;0.168760;0.797488
