target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.743197;0.171202;0.068481;0.017120
X_4;X_1,X_2;0,1,2,3;0;2;0.517866;0.301334;0.144640;0.036160
X_4;X_1,X_2;0,1,2,3;0;3;0.425325;0.344805;0.172403;0.057468
X_4;X_1,X_2;0,1,2,3;1;0;0.904148;0.071889;0.019170;0.004793
X_4;X_1,X_2;0,1,2,3;1;1;0.603707;0.264195;0.105678;0.026420
X_4;X_1,X_2;0,1,2,3;1;2;0.507349;0.268719;0.179146;0.044786
X_4;X_1,X_2;0,1,2,3;1;3;0.301681;0.376018;0.268584;0.053717
X_4;X_1,X_2;0,1,2,3;2;0;0.625024;0.249984;0.099994;0.024998
X_4;X_1,X_2;0,1,2,3;2;1;0.457974;0.316182;0.180675;0.045169
X_4;X_1,X_2;0,1,2,3;2;2;0.086635;0.173270;0.566824;0.173270
X_4;X_1,X_2;0,1,2,3;2;3;0.055564;0.166691;0.388801;0.388945
X_4;X_1,X_2;0,1,2,3;3;0;0.457963;0.316189;0.180679;0.045170
X_4;X_1,X_2;0,1,2,3;3;1;0.341375;0.282268;0.282268;0.094089
X_4;X_1,X_2;0,1,2,3;3;2;0.055365;0.110731;0.442923;0.390981
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.034967;0.174835;0.790198
