target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.646343;0.254633;0.070731;0.028293
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.629640;0.274341;0.082302;0.013717
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.626666;0.280001;0.093334;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.625135;0.249910;0.099964;0.024991
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.848179;0.110946;0.035036;0.005839
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.613776;0.275874;0.096556;0.013794
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.460381;0.355919;0.149256;0.034444
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.573336;0.273065;0.127999;0.025600
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.821741;0.132044;0.039613;0.006602
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.595521;0.296618;0.094378;0.013483
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.408318;0.398248;0.159299;0.034136
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.515682;0.317008;0.140892;0.026417
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.468383;0.358264;0.150240;0.023114
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.448620;0.367587;0.160819;0.022974
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.361233;0.407489;0.198238;0.033040
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.458110;0.343197;0.171599;0.027095
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.615883;0.274369;0.096029;0.013718
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.601019;0.279287;0.106395;0.013299
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.591120;0.272586;0.110738;0.025555
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.565354;0.286866;0.121701;0.026079
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.609054;0.283099;0.094366;0.013481
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.780573;0.150856;0.054857;0.013714
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.554846;0.296769;0.130928;0.017457
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.521931;0.309860;0.141650;0.026559
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.574478;0.286576;0.121578;0.017368
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.413324;0.383596;0.169233;0.033847
