target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.936164;0.051069;0.012767;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.849163;0.100558;0.040223;0.010056
X_4;X_1,X_2;0,1,2,3;0;2;0.600076;0.249952;0.119977;0.029994
X_4;X_1,X_2;0,1,2,3;0;3;0.495604;0.302638;0.151319;0.050440
X_4;X_1,X_2;0,1,2,3;1;0;0.795811;0.153142;0.040838;0.010209
X_4;X_1,X_2;0,1,2,3;1;1;0.694121;0.203919;0.081568;0.020392
X_4;X_1,X_2;0,1,2,3;1;2;0.455661;0.296912;0.197941;0.049485
X_4;X_1,X_2;0,1,2,3;1;3;0.341966;0.354326;0.253090;0.050618
X_4;X_1,X_2;0,1,2,3;2;0;0.547769;0.301488;0.120595;0.030149
X_4;X_1,X_2;0,1,2,3;2;1;0.403098;0.348193;0.198967;0.049742
X_4;X_1,X_2;0,1,2,3;2;2;0.100241;0.200481;0.498797;0.200481
X_4;X_1,X_2;0,1,2,3;2;3;0.050182;0.150545;0.448000;0.351273
X_4;X_1,X_2;0,1,2,3;3;0;0.390164;0.355738;0.203279;0.050820
X_4;X_1,X_2;0,1,2,3;3;1;0.303404;0.298541;0.298541;0.099514
X_4;X_1,X_2;0,1,2,3;3;2;0.049306;0.098612;0.394450;0.457632
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.050922;0.254612;0.694465
