target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.743865;0.184417;0.051227;0.020491
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.722403;0.205628;0.061688;0.010281
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.717442;0.211918;0.070639;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.539325;0.307117;0.122847;0.030712
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.722980;0.202437;0.063928;0.010655
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.705958;0.210030;0.073511;0.010502
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.522445;0.314983;0.132090;0.030482
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.504365;0.317207;0.148691;0.029738
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.718150;0.208778;0.062633;0.010439
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.688512;0.228425;0.072681;0.010383
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.471012;0.356050;0.142420;0.030519
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.460630;0.353042;0.156908;0.029420
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.550552;0.302889;0.127018;0.019541
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.511424;0.325717;0.142501;0.020357
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.428843;0.364359;0.177256;0.029543
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.406936;0.375607;0.187804;0.029653
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.724938;0.196473;0.068765;0.009824
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.705401;0.206220;0.078560;0.009820
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.513646;0.324236;0.131721;0.030397
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.487917;0.337975;0.143383;0.030725
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.694001;0.221585;0.073862;0.010552
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.666330;0.229398;0.083417;0.020854
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.493076;0.337949;0.149095;0.019879
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.461369;0.349113;0.159594;0.029924
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.501715;0.335580;0.142367;0.020338
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.468846;0.347293;0.153218;0.030644
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.277355;0.415574;0.227827;0.079244
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.247722;0.425284;0.247722;0.079271
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.445229;0.356639;0.168413;0.029720
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.401269;0.375475;0.192812;0.030444
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.217426;0.436669;0.256958;0.088947
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.187922;0.446124;0.276938;0.089016
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.712862;0.200997;0.076570;0.009571
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.666045;0.229594;0.093925;0.010436
