target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_6=0;X_6=1;X_6=2;X_6=3
X_6;X_3,X_4,X_5;0,1,2,3;0;0;0;0.770361;0.183711;0.030619;0.015309
X_6;X_3,X_4,X_5;0,1,2,3;0;0;1;0.760074;0.197586;0.028227;0.014113
X_6;X_3,X_4,X_5;0,1,2,3;0;0;2;0.730645;0.202017;0.053871;0.013468
X_6;X_3,X_4,X_5;0,1,2,3;0;0;3;0.503946;0.330702;0.110234;0.055117
X_6;X_3,X_4,X_5;0,1,2,3;0;1;0;0.890651;0.091124;0.012150;0.006075
X_6;X_3,X_4,X_5;0,1,2,3;0;1;1;0.736107;0.211114;0.039584;0.013195
X_6;X_3,X_4,X_5;0,1,2,3;0;1;2;0.578538;0.286953;0.098640;0.035869
X_6;X_3,X_4,X_5;0,1,2,3;0;1;3;0.539354;0.304026;0.110555;0.046065
X_6;X_3,X_4,X_5;0,1,2,3;0;2;0;0.729658;0.216274;0.040551;0.013517
X_6;X_3,X_4,X_5;0,1,2,3;0;2;1;0.503087;0.331275;0.110425;0.055213
X_6;X_3,X_4,X_5;0,1,2,3;0;2;2;0.480300;0.346467;0.140752;0.032481
X_6;X_3,X_4,X_5;0,1,2,3;0;2;3;0.527174;0.318248;0.127299;0.027278
X_6;X_3,X_4,X_5;0,1,2,3;0;3;0;0.571906;0.291468;0.109300;0.027325
X_6;X_3,X_4,X_5;0,1,2,3;0;3;1;0.451888;0.361754;0.153471;0.032887
X_6;X_3,X_4,X_5;0,1,2,3;0;3;2;0.296385;0.364890;0.232874;0.105852
X_6;X_3,X_4,X_5;0,1,2,3;0;3;3;0.233461;0.458371;0.233461;0.074707
X_6;X_3,X_4,X_5;0,1,2,3;1;0;0;0.757709;0.199533;0.028505;0.014252
X_6;X_3,X_4,X_5;0,1,2,3;1;0;1;0.727885;0.204087;0.054423;0.013606
X_6;X_3,X_4,X_5;0,1,2,3;1;0;2;0.506057;0.329295;0.109765;0.054883
X_6;X_3,X_4,X_5;0,1,2,3;1;0;3;0.474090;0.350607;0.142434;0.032869
X_6;X_3,X_4,X_5;0,1,2,3;1;1;0;0.721503;0.208873;0.055699;0.013925
X_6;X_3,X_4,X_5;0,1,2,3;1;1;1;0.596308;0.269128;0.089709;0.044855
X_6;X_3,X_4,X_5;0,1,2,3;1;1;2;0.561643;0.292238;0.118722;0.027397
X_6;X_3,X_4,X_5;0,1,2,3;1;1;3;0.433982;0.380974;0.152390;0.032655
X_6;X_3,X_4,X_5;0,1,2,3;1;2;0;0.580088;0.285898;0.107212;0.026803
X_6;X_3,X_4,X_5;0,1,2,3;1;2;1;0.544784;0.300443;0.127461;0.027313
X_6;X_3,X_4,X_5;0,1,2,3;1;2;2;0.297018;0.363533;0.233371;0.106078
X_6;X_3,X_4,X_5;0,1,2,3;1;2;3;0.233851;0.457465;0.233851;0.074832
X_6;X_3,X_4,X_5;0,1,2,3;1;3;0;0.548818;0.297780;0.126331;0.027071
X_6;X_3,X_4,X_5;0,1,2,3;1;3;1;0.297991;0.361447;0.234136;0.106426
X_6;X_3,X_4,X_5;0,1,2,3;1;3;2;0.264372;0.386657;0.264372;0.084599
X_6;X_3,X_4,X_5;0,1,2,3;1;3;3;0.236444;0.387394;0.279434;0.096727
X_6;X_3,X_4,X_5;0,1,2,3;2;0;0;0.731335;0.201498;0.053733;0.013433
X_6;X_3,X_4,X_5;0,1,2,3;2;0;1;0.503953;0.330698;0.110233;0.055116
X_6;X_3,X_4,X_5;0,1,2,3;2;0;2;0.569137;0.287242;0.116692;0.026929
X_6;X_3,X_4,X_5;0,1,2,3;2;0;3;0.433242;0.381472;0.152589;0.032698
X_6;X_3,X_4,X_5;0,1,2,3;2;1;0;0.572086;0.291345;0.109255;0.027314
X_6;X_3,X_4,X_5;0,1,2,3;2;1;1;0.455867;0.359128;0.152357;0.032648
X_6;X_3,X_4,X_5;0,1,2,3;2;1;2;0.262425;0.437660;0.206191;0.093723
X_6;X_3,X_4,X_5;0,1,2,3;2;1;3;0.232322;0.461013;0.232322;0.074343
X_6;X_3,X_4,X_5;0,1,2,3;2;2;0;0.450255;0.362832;0.153929;0.032985
X_6;X_3,X_4,X_5;0,1,2,3;2;2;1;0.294327;0.369300;0.231257;0.105117
X_6;X_3,X_4,X_5;0,1,2,3;2;2;2;0.233737;0.457731;0.233737;0.074796
X_6;X_3,X_4,X_5;0,1,2,3;2;2;3;0.235680;0.389373;0.278531;0.096415
X_6;X_3,X_4,X_5;0,1,2,3;2;3;0;0.265152;0.431817;0.208334;0.094697
X_6;X_3,X_4,X_5;0,1,2,3;2;3;1;0.236419;0.451507;0.236419;0.075654
X_6;X_3,X_4,X_5;0,1,2,3;2;3;2;0.093496;0.233739;0.439025;0.233739
X_6;X_3,X_4,X_5;0,1,2,3;2;3;3;0.084763;0.275481;0.385466;0.254290
X_6;X_3,X_4,X_5;0,1,2,3;3;0;0;0.582548;0.284222;0.106583;0.026646
