target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.914988;0.056675;0.022670;0.005667
X_4;X_1,X_2;0,1,2,3;0;2;0.659810;0.212619;0.102057;0.025514
X_4;X_1,X_2;0,1,2,3;0;3;0.460404;0.323758;0.161879;0.053960
X_4;X_1,X_2;0,1,2,3;1;0;0.732940;0.200295;0.053412;0.013353
X_4;X_1,X_2;0,1,2,3;1;1;0.637751;0.241499;0.096600;0.024150
X_4;X_1,X_2;0,1,2,3;1;2;0.491327;0.277458;0.184972;0.046243
X_4;X_1,X_2;0,1,2,3;1;3;0.317689;0.367398;0.262427;0.052485
X_4;X_1,X_2;0,1,2,3;2;0;0.505403;0.329731;0.131893;0.032973
X_4;X_1,X_2;0,1,2,3;2;1;0.436772;0.328550;0.187743;0.046936
X_4;X_1,X_2;0,1,2,3;2;2;0.108855;0.217710;0.455726;0.217710
X_4;X_1,X_2;0,1,2,3;2;3;0.053741;0.161223;0.408850;0.376186
X_4;X_1,X_2;0,1,2,3;3;0;0.367482;0.368969;0.210839;0.052710
X_4;X_1,X_2;0,1,2,3;3;1;0.272934;0.311600;0.311600;0.103867
X_4;X_1,X_2;0,1,2,3;3;2;0.045989;0.091978;0.367913;0.494120
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.059923;0.299615;0.640462
