target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.863311;0.109351;0.027338;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.928937;0.047376;0.018950;0.004738
X_4;X_1,X_2;0,1,2,3;0;2;0.550526;0.280921;0.134842;0.033711
X_4;X_1,X_2;0,1,2,3;0;3;0.547584;0.271449;0.135725;0.045242
X_4;X_1,X_2;0,1,2,3;1;0;0.865368;0.100974;0.026926;0.006732
X_4;X_1,X_2;0,1,2,3;1;1;0.761452;0.159032;0.063613;0.015903
X_4;X_1,X_2;0,1,2,3;1;2;0.494181;0.275901;0.183934;0.045984
X_4;X_1,X_2;0,1,2,3;1;3;0.315490;0.368582;0.263273;0.052655
X_4;X_1,X_2;0,1,2,3;2;0;0.501923;0.332051;0.132821;0.033205
X_4;X_1,X_2;0,1,2,3;2;1;0.430956;0.331942;0.189681;0.047420
X_4;X_1,X_2;0,1,2,3;2;2;0.090686;0.181372;0.546570;0.181372
X_4;X_1,X_2;0,1,2,3;2;3;0.053764;0.161292;0.408597;0.376348
X_4;X_1,X_2;0,1,2,3;3;0;0.438325;0.327644;0.187225;0.046806
X_4;X_1,X_2;0,1,2,3;3;1;0.324545;0.289481;0.289481;0.096494
X_4;X_1,X_2;0,1,2,3;3;2;0.053468;0.106936;0.427743;0.411853
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.040191;0.200954;0.758855
