target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.908174;0.073461;0.018365;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.820886;0.119410;0.047764;0.011941
X_4;X_1,X_2;0,1,2,3;0;2;0.583327;0.260421;0.125002;0.031250
X_4;X_1,X_2;0,1,2,3;0;3;0.478663;0.312802;0.156401;0.052134
X_4;X_1,X_2;0,1,2,3;1;0;0.771405;0.171446;0.045719;0.011430
X_4;X_1,X_2;0,1,2,3;1;1;0.723431;0.184379;0.073752;0.018438
X_4;X_1,X_2;0,1,2,3;1;2;0.434690;0.308351;0.205567;0.051392
X_4;X_1,X_2;0,1,2,3;1;3;0.364486;0.342200;0.244429;0.048886
X_4;X_1,X_2;0,1,2,3;2;0;0.535807;0.309462;0.123785;0.030946
X_4;X_1,X_2;0,1,2,3;2;1;0.412675;0.342606;0.195775;0.048944
X_4;X_1,X_2;0,1,2,3;2;2;0.096302;0.192604;0.518491;0.192604
X_4;X_1,X_2;0,1,2,3;2;3;0.051284;0.153852;0.435875;0.358989
X_4;X_1,X_2;0,1,2,3;3;0;0.415701;0.340841;0.194766;0.048692
X_4;X_1,X_2;0,1,2,3;3;1;0.285840;0.306069;0.306069;0.102023
X_4;X_1,X_2;0,1,2,3;3;2;0.048509;0.097018;0.388070;0.466403
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.044702;0.223508;0.731791
