target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.768779;0.166479;0.046244;0.018498
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.753636;0.182492;0.054748;0.009125
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.686645;0.235016;0.078339;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.569593;0.286938;0.114775;0.028694
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.715612;0.207822;0.065628;0.010938
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.690491;0.221078;0.077377;0.011054
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.505706;0.326024;0.136720;0.031551
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.475216;0.335862;0.157435;0.031487
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.755222;0.181317;0.054395;0.009066
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.721638;0.204132;0.064951;0.009279
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.503256;0.334347;0.133739;0.028658
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.437144;0.368415;0.163740;0.030701
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.521079;0.322751;0.135347;0.020823
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.496593;0.335604;0.146827;0.020975
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.405987;0.378940;0.184349;0.030725
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.411015;0.373024;0.186512;0.029449
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.744523;0.182484;0.063869;0.009124
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.728277;0.190206;0.072460;0.009057
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.539927;0.306715;0.124603;0.028755
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.477145;0.345084;0.146399;0.031371
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.731529;0.194410;0.064803;0.009258
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.650340;0.240391;0.087415;0.021854
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.473882;0.350745;0.154741;0.020632
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.440422;0.362689;0.165801;0.031088
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.486183;0.346040;0.146805;0.020972
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.499628;0.327166;0.144338;0.028868
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.285182;0.399082;0.234256;0.081480
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.258475;0.400337;0.258475;0.082712
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.427250;0.368196;0.173870;0.030683
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.394257;0.379873;0.195070;0.030800
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.215087;0.442730;0.254193;0.087990
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.182798;0.461226;0.269387;0.086589
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.729734;0.189186;0.072071;0.009009
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.654559;0.237490;0.097155;0.010795
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;2;0.514997;0.320102;0.135801;0.029100
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;3;0.448021;0.354100;0.166635;0.031244
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;0;0.647343;0.245792;0.096179;0.010687
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;1;0.625100;0.257075;0.107114;0.010711
