target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.731949;0.178701;0.071480;0.017870
X_4;X_1,X_2;0,1,2,3;0;2;0.515262;0.302961;0.145421;0.036355
X_4;X_1,X_2;0,1,2,3;0;3;0.433579;0.339853;0.169926;0.056642
X_4;X_1,X_2;0,1,2,3;1;0;0.686376;0.235218;0.062725;0.015681
X_4;X_1,X_2;0,1,2,3;1;1;0.800215;0.133190;0.053276;0.013319
X_4;X_1,X_2;0,1,2,3;1;2;0.507159;0.268823;0.179215;0.044804
X_4;X_1,X_2;0,1,2,3;1;3;0.394446;0.326068;0.232905;0.046581
X_4;X_1,X_2;0,1,2,3;2;0;0.469822;0.353452;0.141381;0.035345
X_4;X_1,X_2;0,1,2,3;2;1;0.456431;0.317082;0.181190;0.045297
X_4;X_1,X_2;0,1,2,3;2;2;0.112702;0.225404;0.436489;0.225404
X_4;X_1,X_2;0,1,2,3;2;3;0.044418;0.133255;0.511397;0.310929
X_4;X_1,X_2;0,1,2,3;3;0;0.453256;0.318934;0.182248;0.045562
X_4;X_1,X_2;0,1,2,3;3;1;0.339594;0.283031;0.283031;0.094344
X_4;X_1,X_2;0,1,2,3;3;2;0.055655;0.111309;0.445236;0.387800
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.034672;0.173361;0.791966
