target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.760804;0.172221;0.047839;0.019136
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.736713;0.195027;0.058508;0.009751
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.706194;0.220355;0.073452;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.539871;0.306753;0.122701;0.030675
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.750690;0.182188;0.057533;0.009589
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.708821;0.207985;0.072795;0.010399
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.521909;0.315337;0.132238;0.030516
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.493999;0.323841;0.151800;0.030360
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.715513;0.210731;0.063219;0.010537
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.686791;0.229686;0.073082;0.010440
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.470427;0.356443;0.142577;0.030552
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.456507;0.355741;0.158107;0.029645
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.526786;0.318905;0.133734;0.020575
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.526743;0.315505;0.138033;0.019719
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.429398;0.364005;0.177083;0.029514
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.392195;0.384943;0.192472;0.030390
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.703250;0.211964;0.074187;0.010598
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.703607;0.207475;0.079038;0.009880
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.524134;0.317244;0.128880;0.029742
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.500369;0.329757;0.139897;0.029978
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.707664;0.211692;0.070564;0.010081
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.680886;0.219391;0.079779;0.019945
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.485809;0.342794;0.151233;0.020164
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.459148;0.350552;0.160252;0.030047
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.515635;0.326205;0.138390;0.019770
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.474892;0.343340;0.151474;0.030295
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.278744;0.412647;0.228968;0.079641
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.253406;0.412098;0.253406;0.081090
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.442460;0.358418;0.169253;0.029868
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.400061;0.376233;0.193201;0.030505
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.218548;0.433762;0.258284;0.089406
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.192628;0.432254;0.283873;0.091245
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.708097;0.204332;0.077841;0.009730
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.666515;0.229271;0.093793;0.010421
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;2;0.512285;0.321892;0.136560;0.029263
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;3;0.480177;0.333471;0.156928;0.029424
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;0;0.670508;0.229646;0.089862;0.009985
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;1;0.655495;0.236232;0.098430;0.009843
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;2;0.464272;0.347231;0.158734;0.029763
