target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.876454;0.098837;0.024709;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.929168;0.047221;0.018888;0.004722
X_4;X_1,X_2;0,1,2,3;0;2;0.657660;0.213963;0.102702;0.025676
X_4;X_1,X_2;0,1,2,3;0;3;0.548461;0.270923;0.135462;0.045154
X_4;X_1,X_2;0,1,2,3;1;0;0.871320;0.096510;0.025736;0.006434
X_4;X_1,X_2;0,1,2,3;1;1;0.768326;0.154449;0.061780;0.015445
X_4;X_1,X_2;0,1,2,3;1;2;0.491294;0.277476;0.184984;0.046246
X_4;X_1,X_2;0,1,2,3;1;3;0.377645;0.335114;0.239367;0.047873
X_4;X_1,X_2;0,1,2,3;2;0;0.603622;0.264252;0.105701;0.026425
X_4;X_1,X_2;0,1,2,3;2;1;0.361481;0.372469;0.212840;0.053210
X_4;X_1,X_2;0,1,2,3;2;2;0.109592;0.219183;0.452041;0.219183
X_4;X_1,X_2;0,1,2,3;2;3;0.046476;0.139427;0.488767;0.325330
X_4;X_1,X_2;0,1,2,3;3;0;0.432862;0.330830;0.189046;0.047261
X_4;X_1,X_2;0,1,2,3;3;1;0.274637;0.310870;0.310870;0.103623
X_4;X_1,X_2;0,1,2,3;3;2;0.046142;0.092283;0.369133;0.492442
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.040746;0.203730;0.755524
