target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.722671;0.184886;0.073954;0.018489
X_4;X_1,X_2;0,1,2,3;0;2;0.523733;0.297667;0.142880;0.035720
X_4;X_1,X_2;0,1,2,3;0;3;0.430919;0.341449;0.170724;0.056908
X_4;X_1,X_2;0,1,2,3;1;0;0.910474;0.067144;0.017905;0.004476
X_4;X_1,X_2;0,1,2,3;1;1;0.793432;0.137712;0.055085;0.013771
X_4;X_1,X_2;0,1,2,3;1;2;0.517045;0.263430;0.175620;0.043905
X_4;X_1,X_2;0,1,2,3;1;3;0.301379;0.376181;0.268700;0.053740
X_4;X_1,X_2;0,1,2,3;2;0;0.470897;0.352736;0.141094;0.035274
X_4;X_1,X_2;0,1,2,3;2;1;0.349559;0.379424;0.216814;0.054203
X_4;X_1,X_2;0,1,2,3;2;2;0.114520;0.229040;0.427400;0.229040
X_4;X_1,X_2;0,1,2,3;2;3;0.044386;0.133157;0.511759;0.310699
X_4;X_1,X_2;0,1,2,3;3;0;0.340287;0.384833;0.219904;0.054976
X_4;X_1,X_2;0,1,2,3;3;1;0.262050;0.316264;0.316264;0.105421
X_4;X_1,X_2;0,1,2,3;3;2;0.044555;0.089110;0.356442;0.509893
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.067108;0.335539;0.597353
