target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.941979;0.046417;0.011604;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.855259;0.096494;0.038597;0.009649
X_4;X_1,X_2;0,1,2,3;0;2;0.598528;0.250920;0.120442;0.030110
X_4;X_1,X_2;0,1,2,3;0;3;0.502147;0.298712;0.149356;0.049785
X_4;X_1,X_2;0,1,2,3;1;0;0.795710;0.153218;0.040858;0.010215
X_4;X_1,X_2;0,1,2,3;1;1;0.716742;0.188839;0.075536;0.018884
X_4;X_1,X_2;0,1,2,3;1;2;0.444431;0.303038;0.202025;0.050506
X_4;X_1,X_2;0,1,2,3;1;3;0.341926;0.354347;0.253105;0.050621
X_4;X_1,X_2;0,1,2,3;2;0;0.554718;0.296855;0.118742;0.029685
X_4;X_1,X_2;0,1,2,3;2;1;0.397613;0.351392;0.200796;0.050199
X_4;X_1,X_2;0,1,2,3;2;2;0.100664;0.201328;0.496681;0.201328
X_4;X_1,X_2;0,1,2,3;2;3;0.050385;0.151154;0.445769;0.352693
X_4;X_1,X_2;0,1,2,3;3;0;0.390386;0.355608;0.203205;0.050801
X_4;X_1,X_2;0,1,2,3;3;1;0.305875;0.297482;0.297482;0.099161
X_4;X_1,X_2;0,1,2,3;3;2;0.049992;0.099984;0.399935;0.450090
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.052404;0.262021;0.685575
