target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.812548;0.149962;0.037490;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.728881;0.180746;0.072298;0.018075
X_4;X_1,X_2;0,1,2,3;0;2;0.681539;0.199038;0.095538;0.023885
X_4;X_1,X_2;0,1,2,3;0;3;0.565809;0.260515;0.130257;0.043419
X_4;X_1,X_2;0,1,2,3;1;0;0.907457;0.069407;0.018509;0.004627
X_4;X_1,X_2;0,1,2,3;1;1;0.595998;0.269335;0.107734;0.026933
X_4;X_1,X_2;0,1,2,3;1;2;0.385861;0.334985;0.223323;0.055831
X_4;X_1,X_2;0,1,2,3;1;3;0.305305;0.374067;0.267191;0.053438
X_4;X_1,X_2;0,1,2,3;2;0;0.468276;0.354483;0.141793;0.035448
X_4;X_1,X_2;0,1,2,3;2;1;0.458463;0.315896;0.180512;0.045128
X_4;X_1,X_2;0,1,2,3;2;2;0.114597;0.229195;0.427013;0.229195
X_4;X_1,X_2;0,1,2,3;2;3;0.056062;0.168187;0.383313;0.392437
X_4;X_1,X_2;0,1,2,3;3;0;0.452481;0.319386;0.182506;0.045627
X_4;X_1,X_2;0,1,2,3;3;1;0.339213;0.283194;0.283194;0.094398
X_4;X_1,X_2;0,1,2,3;3;2;0.044219;0.088439;0.353756;0.513586
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.033526;0.167629;0.798846
