target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.905345;0.075724;0.018931;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.877547;0.081636;0.032654;0.008164
X_4;X_1,X_2;0,1,2,3;0;2;0.627203;0.232998;0.111839;0.027960
X_4;X_1,X_2;0,1,2,3;0;3;0.515616;0.290631;0.145315;0.048438
X_4;X_1,X_2;0,1,2,3;1;0;0.823837;0.132122;0.035233;0.008808
X_4;X_1,X_2;0,1,2,3;1;1;0.673905;0.217397;0.086959;0.021740
X_4;X_1,X_2;0,1,2,3;1;2;0.472047;0.287974;0.191983;0.047996
X_4;X_1,X_2;0,1,2,3;1;3;0.363432;0.342767;0.244834;0.048967
X_4;X_1,X_2;0,1,2,3;2;0;0.564646;0.290236;0.116094;0.029024
X_4;X_1,X_2;0,1,2,3;2;1;0.388535;0.356688;0.203822;0.050955
X_4;X_1,X_2;0,1,2,3;2;2;0.104800;0.209599;0.476002;0.209599
X_4;X_1,X_2;0,1,2,3;2;3;0.051731;0.155194;0.430955;0.362119
X_4;X_1,X_2;0,1,2,3;3;0;0.418468;0.339227;0.193844;0.048461
X_4;X_1,X_2;0,1,2,3;3;1;0.309251;0.296035;0.296035;0.098678
X_4;X_1,X_2;0,1,2,3;3;2;0.048924;0.097848;0.391393;0.461835
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.052969;0.264843;0.682189
