target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.731564;0.178957;0.071583;0.017896
X_4;X_1,X_2;0,1,2,3;0;2;0.677649;0.201470;0.096705;0.024176
X_4;X_1,X_2;0,1,2,3;0;3;0.562852;0.262289;0.131144;0.043715
X_4;X_1,X_2;0,1,2,3;1;0;0.903831;0.072127;0.019234;0.004808
X_4;X_1,X_2;0,1,2,3;1;1;0.797901;0.134733;0.053893;0.013473
X_4;X_1,X_2;0,1,2,3;1;2;0.384776;0.335577;0.223718;0.055929
X_4;X_1,X_2;0,1,2,3;1;3;0.301480;0.376126;0.268661;0.053732
X_4;X_1,X_2;0,1,2,3;2;0;0.619420;0.253720;0.101488;0.025372
X_4;X_1,X_2;0,1,2,3;2;1;0.458004;0.316164;0.180665;0.045166
X_4;X_1,X_2;0,1,2,3;2;2;0.114882;0.229764;0.425590;0.229764
X_4;X_1,X_2;0,1,2,3;2;3;0.055387;0.166160;0.390747;0.387707
X_4;X_1,X_2;0,1,2,3;3;0;0.342159;0.383740;0.219280;0.054820
X_4;X_1,X_2;0,1,2,3;3;1;0.258161;0.317931;0.317931;0.105977
X_4;X_1,X_2;0,1,2,3;3;2;0.055897;0.111794;0.447175;0.385135
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.034876;0.174380;0.790743
