target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_6=0;X_6=1;X_6=2;X_6=3
X_6;X_3,X_4,X_5;0,1,2,3;0;0;0;0.741066;0.207148;0.034525;0.017262
X_6;X_3,X_4,X_5;0,1,2,3;0;0;1;0.707936;0.240523;0.034360;0.017180
X_6;X_3,X_4,X_5;0,1,2,3;0;0;2;0.907502;0.069373;0.018500;0.004625
X_6;X_3,X_4,X_5;0,1,2,3;0;0;3;0.620149;0.253234;0.084411;0.042206
X_6;X_3,X_4,X_5;0,1,2,3;0;1;0;0.714101;0.238250;0.031767;0.015883
X_6;X_3,X_4,X_5;0,1,2,3;0;1;1;0.904972;0.076022;0.014254;0.004751
X_6;X_3,X_4,X_5;0,1,2,3;0;1;2;0.607125;0.267489;0.091950;0.033436
X_6;X_3,X_4,X_5;0,1,2,3;0;1;3;0.572466;0.282173;0.102608;0.042753
X_6;X_3,X_4,X_5;0,1,2,3;0;2;0;0.692851;0.245719;0.046072;0.015357
X_6;X_3,X_4,X_5;0,1,2,3;0;2;1;0.628938;0.247375;0.082458;0.041229
X_6;X_3,X_4,X_5;0,1,2,3;0;2;2;0.589506;0.273663;0.111175;0.025656
X_6;X_3,X_4,X_5;0,1,2,3;0;2;3;0.547464;0.304592;0.121837;0.026108
X_6;X_3,X_4,X_5;0,1,2,3;0;3;0;0.598462;0.273388;0.102520;0.025630
X_6;X_3,X_4,X_5;0,1,2,3;0;3;1;0.564227;0.287610;0.122016;0.026146
X_6;X_3,X_4,X_5;0,1,2,3;0;3;2;0.305488;0.345383;0.240026;0.109103
X_6;X_3,X_4,X_5;0,1,2,3;0;3;3;0.276376;0.358808;0.276376;0.088440
X_6;X_3,X_4,X_5;0,1,2,3;1;0;0;0.939585;0.049753;0.007108;0.003554
X_6;X_3,X_4,X_5;0,1,2,3;1;0;1;0.693566;0.229825;0.061287;0.015322
X_6;X_3,X_4,X_5;0,1,2,3;1;0;2;0.620156;0.253230;0.084410;0.042205
X_6;X_3,X_4,X_5;0,1,2,3;1;0;3;0.449881;0.366746;0.148991;0.034382
X_6;X_3,X_4,X_5;0,1,2,3;1;1;0;0.911495;0.066379;0.017701;0.004425
X_6;X_3,X_4,X_5;0,1,2,3;1;1;1;0.619984;0.253344;0.084448;0.042224
X_6;X_3,X_4,X_5;0,1,2,3;1;1;2;0.450945;0.366036;0.148702;0.034316
X_6;X_3,X_4,X_5;0,1,2,3;1;1;3;0.417665;0.391956;0.156782;0.033596
