target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_6=0;X_6=1;X_6=2;X_6=3
X_6;X_3,X_4,X_5;0,1,2,3;0;0;0;0.779128;0.176697;0.029450;0.014725
X_6;X_3,X_4,X_5;0,1,2,3;0;0;1;0.894334;0.087019;0.012431;0.006216
X_6;X_3,X_4,X_5;0,1,2,3;0;0;2;0.871466;0.096401;0.025707;0.006427
X_6;X_3,X_4,X_5;0,1,2,3;0;0;3;0.496905;0.335396;0.111799;0.055899
X_6;X_3,X_4,X_5;0,1,2,3;0;1;0;0.890628;0.091143;0.012152;0.006076
X_6;X_3,X_4,X_5;0,1,2,3;0;1;1;0.731108;0.215114;0.040334;0.013445
X_6;X_3,X_4,X_5;0,1,2,3;0;1;2;0.580769;0.285434;0.098118;0.035679
X_6;X_3,X_4,X_5;0,1,2,3;0;1;3;0.460355;0.356166;0.129515;0.053965
X_6;X_3,X_4,X_5;0,1,2,3;0;2;0;0.734757;0.212194;0.039786;0.013262
X_6;X_3,X_4,X_5;0,1,2,3;0;2;1;0.597289;0.268474;0.089491;0.044746
X_6;X_3,X_4,X_5;0,1,2,3;0;2;2;0.565069;0.289954;0.117794;0.027183
X_6;X_3,X_4,X_5;0,1,2,3;0;2;3;0.521956;0.321761;0.128704;0.027579
X_6;X_3,X_4,X_5;0,1,2,3;0;3;0;0.577613;0.287582;0.107843;0.026961
X_6;X_3,X_4,X_5;0,1,2,3;0;3;1;0.547370;0.298736;0.126736;0.027158
X_6;X_3,X_4,X_5;0,1,2,3;0;3;2;0.262050;0.438464;0.205897;0.093589
X_6;X_3,X_4,X_5;0,1,2,3;0;3;3;0.234852;0.455143;0.234852;0.075153
X_6;X_3,X_4,X_5;0,1,2,3;1;0;0;0.904074;0.078998;0.011285;0.005643
X_6;X_3,X_4,X_5;0,1,2,3;1;0;1;0.862479;0.103141;0.027504;0.006876
X_6;X_3,X_4,X_5;0,1,2,3;1;0;2;0.592399;0.271734;0.090578;0.045289
X_6;X_3,X_4,X_5;0,1,2,3;1;0;3;0.571654;0.285564;0.116010;0.026772
X_6;X_3,X_4,X_5;0,1,2,3;1;1;0;0.877351;0.091987;0.024530;0.006132
X_6;X_3,X_4,X_5;0,1,2,3;1;1;1;0.593664;0.270891;0.090297;0.045148
X_6;X_3,X_4,X_5;0,1,2,3;1;1;2;0.469450;0.353700;0.143691;0.033159
X_6;X_3,X_4,X_5;0,1,2,3;1;1;3;0.432445;0.382008;0.152803;0.032744
