target_variable;parents;target_values;X_1(parent_1);A_1(parent_2);D_1(parent_3);X_1_t1=0;X_1_t1=1;X_1_t1=2;X_1_t1=3
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;0;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;1;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;0;0.300996;0.398008;0.200664;0.100332
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;1;0.498737;0.300758;0.150379;0.050126
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;0;0.000000;1.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;1;0.413725;0.586275;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;0;0.000000;0.298619;0.502302;0.199079
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;1;0.195022;0.512444;0.243778;0.048756
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;0;0.000000;0.000000;1.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;1;0.103399;0.310198;0.586403;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;0;0.000000;0.000000;0.408068;0.591932
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;1;0.048932;0.195727;0.559615;0.195727
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;1;0.000000;0.097074;0.291221;0.611705
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;1;0.000000;0.052108;0.260540;0.687352
