target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_6=0;X_6=1;X_6=2;X_6=3
X_6;X_3,X_4,X_5;0,1,2,3;0;0;0;0.866785;0.106572;0.017762;0.008881
X_6;X_3,X_4,X_5;0,1,2,3;0;0;1;0.841713;0.130354;0.018622;0.009311
X_6;X_3,X_4,X_5;0,1,2,3;0;0;2;0.799273;0.150545;0.040145;0.010036
X_6;X_3,X_4,X_5;0,1,2,3;0;0;3;0.538125;0.307917;0.102639;0.051319
X_6;X_3,X_4,X_5;0,1,2,3;0;1;0;0.833581;0.138683;0.018491;0.009246
X_6;X_3,X_4,X_5;0,1,2,3;0;1;1;0.809689;0.152249;0.028547;0.009516
X_6;X_3,X_4,X_5;0,1,2,3;0;1;2;0.525897;0.322794;0.110960;0.040349
X_6;X_3,X_4,X_5;0,1,2,3;0;1;3;0.505591;0.326310;0.118658;0.049441
X_6;X_3,X_4,X_5;0,1,2,3;0;2;0;0.802316;0.158147;0.029653;0.009884
X_6;X_3,X_4,X_5;0,1,2,3;0;2;1;0.554948;0.296701;0.098900;0.049450
X_6;X_3,X_4,X_5;0,1,2,3;0;2;2;0.511497;0.325669;0.132303;0.030531
X_6;X_3,X_4,X_5;0,1,2,3;0;2;3;0.486140;0.345867;0.138347;0.029646
X_6;X_3,X_4,X_5;0,1,2,3;0;3;0;0.535773;0.316070;0.118526;0.029632
X_6;X_3,X_4,X_5;0,1,2,3;0;3;1;0.499965;0.330023;0.140010;0.030002
X_6;X_3,X_4,X_5;0,1,2,3;0;3;2;0.280315;0.399325;0.220248;0.100113
X_6;X_3,X_4,X_5;0,1,2,3;0;3;3;0.254078;0.410540;0.254078;0.081305
X_6;X_3,X_4,X_5;0,1,2,3;1;0;0;0.847413;0.125660;0.017951;0.008976
X_6;X_3,X_4,X_5;0,1,2,3;1;0;1;0.804014;0.146990;0.039197;0.009799
X_6;X_3,X_4,X_5;0,1,2,3;1;0;2;0.549314;0.300457;0.100152;0.050076
X_6;X_3,X_4,X_5;0,1,2,3;1;0;3;0.532623;0.311585;0.126581;0.029211
X_6;X_3,X_4,X_5;0,1,2,3;1;1;0;0.800374;0.149720;0.039925;0.009981
X_6;X_3,X_4,X_5;0,1,2,3;1;1;1;0.546051;0.302632;0.100877;0.050439
X_6;X_3,X_4,X_5;0,1,2,3;1;1;2;0.516198;0.322535;0.131030;0.030238
X_6;X_3,X_4,X_5;0,1,2,3;1;1;3;0.469050;0.357370;0.142948;0.030632
X_6;X_3,X_4,X_5;0,1,2,3;1;2;0;0.530697;0.319526;0.119822;0.029956
