target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.959574;0.032341;0.008085;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.864628;0.090248;0.036099;0.009025
X_4;X_1,X_2;0,1,2,3;0;2;0.600883;0.249448;0.119735;0.029934
X_4;X_1,X_2;0,1,2,3;0;3;0.511658;0.293005;0.146503;0.048834
X_4;X_1,X_2;0,1,2,3;1;0;0.796934;0.152299;0.040613;0.010153
X_4;X_1,X_2;0,1,2,3;1;1;0.691351;0.205766;0.082306;0.020577
X_4;X_1,X_2;0,1,2,3;1;2;0.457478;0.295921;0.197281;0.049320
X_4;X_1,X_2;0,1,2,3;1;3;0.344961;0.352713;0.251938;0.050388
X_4;X_1,X_2;0,1,2,3;2;0;0.552602;0.298266;0.119306;0.029827
X_4;X_1,X_2;0,1,2,3;2;1;0.392309;0.354486;0.202564;0.050641
X_4;X_1,X_2;0,1,2,3;2;2;0.097995;0.195989;0.510026;0.195989
X_4;X_1,X_2;0,1,2,3;2;3;0.049140;0.147419;0.459462;0.343979
X_4;X_1,X_2;0,1,2,3;3;0;0.405131;0.347007;0.198290;0.049572
X_4;X_1,X_2;0,1,2,3;3;1;0.303051;0.298692;0.298692;0.099564
X_4;X_1,X_2;0,1,2,3;3;2;0.049041;0.098082;0.392329;0.460547
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.050430;0.252148;0.697422
