target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.866120;0.107104;0.026776;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.924972;0.050019;0.020008;0.005002
X_4;X_1,X_2;0,1,2,3;0;2;0.549523;0.281548;0.135143;0.033786
X_4;X_1,X_2;0,1,2,3;0;3;0.541854;0.274887;0.137444;0.045815
X_4;X_1,X_2;0,1,2,3;1;0;0.879706;0.090221;0.024059;0.006015
X_4;X_1,X_2;0,1,2,3;1;1;0.631091;0.245939;0.098376;0.024594
X_4;X_1,X_2;0,1,2,3;1;2;0.494796;0.275566;0.183710;0.045928
X_4;X_1,X_2;0,1,2,3;1;3;0.380177;0.333751;0.238393;0.047679
X_4;X_1,X_2;0,1,2,3;2;0;0.506623;0.328918;0.131567;0.032892
X_4;X_1,X_2;0,1,2,3;2;1;0.362969;0.371602;0.212344;0.053086
X_4;X_1,X_2;0,1,2,3;2;2;0.107814;0.215627;0.460932;0.215627
X_4;X_1,X_2;0,1,2,3;2;3;0.053492;0.160476;0.411590;0.374443
X_4;X_1,X_2;0,1,2,3;3;0;0.434784;0.329710;0.188405;0.047101
X_4;X_1,X_2;0,1,2,3;3;1;0.273104;0.311527;0.311527;0.103842
X_4;X_1,X_2;0,1,2,3;3;2;0.046164;0.092328;0.369313;0.492194
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.040954;0.204772;0.754273
