target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.749222;0.181117;0.055728;0.013932
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.738188;0.196359;0.052362;0.013091
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.707723;0.212565;0.066427;0.013285
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.566306;0.280094;0.108423;0.045176
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.722330;0.208253;0.055534;0.013884
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.829435;0.126069;0.037079;0.007416
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.547117;0.298903;0.117750;0.036231
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.523987;0.311239;0.128157;0.036616
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.713303;0.208507;0.065158;0.013032
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.554081;0.291212;0.109205;0.045502
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.441571;0.361336;0.153294;0.043798
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.409028;0.386818;0.161174;0.042980
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.452583;0.361295;0.142328;0.043793
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.510194;0.323457;0.129383;0.036967
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.275914;0.373888;0.244078;0.106121
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.215616;0.465648;0.234365;0.084371
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.879335;0.088911;0.025403;0.006351
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.718301;0.214628;0.053657;0.013414
