target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.791537;0.150556;0.046325;0.011581
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.833542;0.124843;0.033292;0.008323
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.747242;0.183824;0.057445;0.011489
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.498752;0.323723;0.125312;0.052213
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.773575;0.169819;0.045285;0.011321
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.794610;0.151810;0.044650;0.008930
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.513302;0.321220;0.126541;0.038936
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.494600;0.330454;0.136069;0.038877
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.811662;0.136973;0.042804;0.008561
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.488540;0.334015;0.125255;0.052190
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.470579;0.342567;0.145331;0.041523
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.461687;0.352350;0.146813;0.039150
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.484957;0.339929;0.133911;0.041203
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.484762;0.340251;0.136101;0.038886
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.252461;0.427108;0.223331;0.097100
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.225468;0.441230;0.245074;0.088227
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.842006;0.116416;0.033262;0.008315
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.756061;0.185858;0.046465;0.011616
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.535241;0.300157;0.116190;0.048412
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.474749;0.339868;0.144187;0.041196
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.823945;0.134137;0.033534;0.008384
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.533811;0.304450;0.114169;0.047570
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.475029;0.339687;0.144110;0.041174
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.428822;0.373862;0.155776;0.041540
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.516917;0.318835;0.125602;0.038647
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.490165;0.336683;0.134673;0.038478
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.255212;0.420866;0.225764;0.098158
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.222178;0.449386;0.241498;0.086939
