target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.983094;0.013525;0.003381;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.811663;0.125558;0.050223;0.012556
X_4;X_1,X_2;0,1,2,3;0;2;0.617365;0.239147;0.114791;0.028698
X_4;X_1,X_2;0,1,2,3;0;3;0.479974;0.312016;0.156008;0.052003
X_4;X_1,X_2;0,1,2,3;1;0;0.824144;0.131892;0.035171;0.008793
X_4;X_1,X_2;0,1,2,3;1;1;0.679023;0.213985;0.085594;0.021398
X_4;X_1,X_2;0,1,2,3;1;2;0.434877;0.308249;0.205499;0.051375
X_4;X_1,X_2;0,1,2,3;1;3;0.363359;0.342807;0.244862;0.048972
X_4;X_1,X_2;0,1,2,3;2;0;0.569010;0.287326;0.114931;0.028733
X_4;X_1,X_2;0,1,2,3;2;1;0.415777;0.340797;0.194741;0.048685
X_4;X_1,X_2;0,1,2,3;2;2;0.095761;0.191521;0.521197;0.191521
X_4;X_1,X_2;0,1,2,3;2;3;0.051479;0.154436;0.433736;0.360350
X_4;X_1,X_2;0,1,2,3;3;0;0.387903;0.357056;0.204032;0.051008
X_4;X_1,X_2;0,1,2,3;3;1;0.309783;0.295807;0.295807;0.098602
X_4;X_1,X_2;0,1,2,3;3;2;0.047989;0.095979;0.383916;0.472116
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.046625;0.233124;0.720251
