target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.872121;0.102303;0.025576;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.917101;0.055266;0.022106;0.005527
X_4;X_1,X_2;0,1,2,3;0;2;0.645206;0.221746;0.106438;0.026610
X_4;X_1,X_2;0,1,2,3;0;3;0.454121;0.327527;0.163764;0.054588
X_4;X_1,X_2;0,1,2,3;1;0;0.729247;0.203064;0.054151;0.013538
X_4;X_1,X_2;0,1,2,3;1;1;0.758150;0.161233;0.064493;0.016123
X_4;X_1,X_2;0,1,2,3;1;2;0.492528;0.276803;0.184535;0.046134
X_4;X_1,X_2;0,1,2,3;1;3;0.319433;0.366459;0.261757;0.052351
X_4;X_1,X_2;0,1,2,3;2;0;0.495041;0.336639;0.134656;0.033664
X_4;X_1,X_2;0,1,2,3;2;1;0.436569;0.328668;0.187810;0.046953
X_4;X_1,X_2;0,1,2,3;2;2;0.091278;0.182555;0.543612;0.182555
X_4;X_1,X_2;0,1,2,3;2;3;0.046803;0.140408;0.485172;0.327618
X_4;X_1,X_2;0,1,2,3;3;0;0.360734;0.372905;0.213089;0.053272
X_4;X_1,X_2;0,1,2,3;3;1;0.273582;0.311322;0.311322;0.103774
X_4;X_1,X_2;0,1,2,3;3;2;0.046334;0.092667;0.370668;0.490331
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.040385;0.201924;0.757691
