target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.970373;0.023702;0.005925;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.868845;0.087437;0.034975;0.008744
X_4;X_1,X_2;0,1,2,3;0;2;0.587226;0.257984;0.123832;0.030958
X_4;X_1,X_2;0,1,2,3;0;3;0.496406;0.302156;0.151078;0.050359
X_4;X_1,X_2;0,1,2,3;1;0;0.790766;0.156926;0.041847;0.010462
X_4;X_1,X_2;0,1,2,3;1;1;0.716597;0.188936;0.075574;0.018894
X_4;X_1,X_2;0,1,2,3;1;2;0.451417;0.299227;0.199485;0.049871
X_4;X_1,X_2;0,1,2,3;1;3;0.355239;0.347179;0.247985;0.049597
X_4;X_1,X_2;0,1,2,3;2;0;0.538397;0.307735;0.123094;0.030774
X_4;X_1,X_2;0,1,2,3;2;1;0.408159;0.345241;0.197280;0.049320
X_4;X_1,X_2;0,1,2,3;2;2;0.098458;0.196917;0.507708;0.196917
X_4;X_1,X_2;0,1,2,3;2;3;0.050394;0.151181;0.445671;0.352755
X_4;X_1,X_2;0,1,2,3;3;0;0.409393;0.344521;0.196869;0.049217
X_4;X_1,X_2;0,1,2,3;3;1;0.293442;0.302810;0.302810;0.100937
X_4;X_1,X_2;0,1,2,3;3;2;0.050287;0.100573;0.402293;0.446847
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.047616;0.238079;0.714305
