target_variable;parents;target_values;X_1(parent_1);A_1(parent_2);D_1(parent_3);X_1_t1=0;X_1_t1=1;X_1_t1=2;X_1_t1=3
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;0;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;1;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;0;0.273247;0.453507;0.182164;0.091082
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;1;0.562698;0.262381;0.131191;0.043730
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;0;0.000000;1.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;1;0.317823;0.682177;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;0;0.000000;0.344902;0.425163;0.229935
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;1;0.172281;0.569297;0.215351;0.043070
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;0;0.000000;0.000000;1.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;1;0.119768;0.359304;0.520928;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;0;0.000000;0.000000;0.314357;0.685643
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;1;0.058613;0.234452;0.472483;0.234452
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;1;0.000000;0.121542;0.364626;0.513832
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;1;0.000000;0.034170;0.170851;0.794979
