target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.821858;0.142513;0.035628;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.968357;0.021095;0.008438;0.002110
X_4;X_1,X_2;0,1,2,3;0;2;0.684840;0.196975;0.094548;0.023637
X_4;X_1,X_2;0,1,2,3;0;3;0.562751;0.262349;0.131175;0.043725
X_4;X_1,X_2;0,1,2,3;1;0;0.688704;0.233472;0.062259;0.015565
X_4;X_1,X_2;0,1,2,3;1;1;0.789597;0.140269;0.056108;0.014027
X_4;X_1,X_2;0,1,2,3;1;2;0.509544;0.267522;0.178348;0.044587
X_4;X_1,X_2;0,1,2,3;1;3;0.301058;0.376354;0.268824;0.053765
X_4;X_1,X_2;0,1,2,3;2;0;0.618754;0.254164;0.101666;0.025416
X_4;X_1,X_2;0,1,2,3;2;1;0.343313;0.383067;0.218896;0.054724
X_4;X_1,X_2;0,1,2,3;2;2;0.113762;0.227525;0.431189;0.227525
X_4;X_1,X_2;0,1,2,3;2;3;0.044305;0.132914;0.512650;0.310132
X_4;X_1,X_2;0,1,2,3;3;0;0.456200;0.317217;0.181267;0.045317
X_4;X_1,X_2;0,1,2,3;3;1;0.258786;0.317663;0.317663;0.105888
X_4;X_1,X_2;0,1,2,3;3;2;0.056028;0.112055;0.448220;0.383697
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.065104;0.325519;0.609377
