target_variable;parents;target_values;X_2(parent_1);A_2(parent_2);D_2(parent_3);X_2_t1=0;X_2_t1=1;X_2_t1=2;X_2_t1=3
# X2(t+1) = 0
X_2_t1;X_2,A_2,D_2;0,1,2,3;0;0;0;1.00;0.00;0.00;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;0;0;1;1.00;0.00;0.00;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;0;1;0;0.20;0.60;0.20;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;0;1;1;0.70;0.25;0.05;0.00
# X2(t+1) = 1
X_2_t1;X_2,A_2,D_2;0,1,2,3;1;0;0;0.00;1.00;0.00;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;1;0;1;0.50;0.50;0.00;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;1;1;0;0.00;0.20;0.70;0.10
X_2_t1;X_2,A_2,D_2;0,1,2,3;1;1;1;0.30;0.50;0.20;0.00
# X2(t+1) = 2
X_2_t1;X_2,A_2,D_2;0,1,2,3;2;0;0;0.00;0.00;1.00;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;2;0;1;0.10;0.60;0.30;0.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;2;1;0;0.00;0.00;0.30;0.70
X_2_t1;X_2,A_2,D_2;0,1,2,3;2;1;1;0.00;0.30;0.60;0.10
# X2(t+1) = 3
X_2_t1;X_2,A_2,D_2;0,1,2,3;3;0;0;0.00;0.00;0.00;1.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;3;0;1;0.00;0.20;0.70;0.10
X_2_t1;X_2,A_2,D_2;0,1,2,3;3;1;0;0.00;0.00;0.00;1.00
X_2_t1;X_2,A_2,D_2;0,1,2,3;3;1;1;0.00;0.10;0.60;0.30
