target_variable;parents;target_values;X_3(parent_1);Y_3=0;Y_3=1;Y_3=2;Y_3=3
# Y3（攻击方对X3的观测，状态0=正常、1=轻度异常、2=严重异常、3=完全失效）
# 逻辑：攻击方误判率≥10%，偏向中间状态，对X3=3易误判为严重异常
# X3=0（正常）：83%正确观测，17%误判为轻度异常（误判率17%≥10%）
Y_3;X_3;0,1,2,3;0;0.83;0.17;0.00;0.00
# X3=1（轻度异常）：77%正确观测，8%误判为正常，15%误判为严重异常（总误判率23%≥10%）
Y_3;X_3;0,1,2,3;1;0.08;0.77;0.15;0.00
# X3=2（严重异常）：76%正确观测，14%误判为轻度异常，10%误判为瘫痪（总误判率24%≥10%）
Y_3;X_3;0,1,2,3;2;0.00;0.14;0.76;0.10
# X3=3（完全失效）：69%误判为严重异常，21%正确观测，10%误判为轻度异常（符合“偏向中间状态”）
Y_3;X_3;0,1,2,3;3;0.00;0.10;0.69;0.21
