target_variable;parents;target_values;X_5(parent_1);Y_5=0;Y_5=1;Y_5=2;Y_5=3
# Y5（攻击方对X5的观测，状态0=正常、1=轻度异常、2=严重异常、3=完全失效）
# 逻辑：攻击方误判率≥10%，偏向中间状态，对X5=3易误判为严重异常
# X5=0（正常）：81%正确观测，19%误判为轻度异常（误判率19%≥10%）
Y_5;X_5;0,1,2,3;0;0.81;0.19;0.00;0.00
# X5=1（轻度异常）：76%正确观测，9%误判为正常，15%误判为严重异常（总误判率24%≥10%）
Y_5;X_5;0,1,2,3;1;0.09;0.76;0.15;0.00
# X5=2（严重异常）：74%正确观测，16%误判为轻度异常，10%误判为瘫痪（总误判率26%≥10%）
Y_5;X_5;0,1,2,3;2;0.00;0.16;0.74;0.10
# X5=3（完全失效）：72%误判为严重异常，18%正确观测，10%误判为轻度异常（符合“偏向中间状态”）
Y_5;X_5;0,1,2,3;3;0.00;0.10;0.72;0.18
