target_variable;parents;target_values;X_3(parent_1);A_3(parent_2);D_3(parent_3);X_3_t1=0;X_3_t1=1;X_3_t1=2;X_3_t1=3
# X3(t+1) = 0
X_3_t1;X_3,A_3,D_3;0,1,2,3;0;0;0;1.00;0.00;0.00;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;0;0;1;1.00;0.00;0.00;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;0;1;0;0.10;0.70;0.20;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;0;1;1;0.80;0.15;0.05;0.00
# X3(t+1) = 1
X_3_t1;X_3,A_3,D_3;0,1,2,3;1;0;0;0.00;1.00;0.00;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;1;0;1;0.40;0.60;0.00;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;1;1;0;0.00;0.10;0.80;0.10
X_3_t1;X_3,A_3,D_3;0,1,2,3;1;1;1;0.20;0.60;0.20;0.00
# X3(t+1) = 2
X_3_t1;X_3,A_3,D_3;0,1,2,3;2;0;0;0.00;0.00;1.00;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;2;0;1;0.05;0.50;0.45;0.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;2;1;0;0.00;0.00;0.20;0.80
X_3_t1;X_3,A_3,D_3;0,1,2,3;2;1;1;0.00;0.20;0.70;0.10
# X3(t+1) = 3
X_3_t1;X_3,A_3,D_3;0,1,2,3;3;0;0;0.00;0.00;0.00;1.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;3;0;1;0.00;0.10;0.60;0.30
X_3_t1;X_3,A_3,D_3;0,1,2,3;3;1;0;0.00;0.00;0.00;1.00
X_3_t1;X_3,A_3,D_3;0,1,2,3;3;1;1;0.00;0.05;0.50;0.45
