target_variable;parents;target_values;X_4(parent_1);Y_4=0;Y_4=1;Y_4=2;Y_4=3
# Y4（攻击方对X4的观测，状态0=正常、1=轻度异常、2=严重异常、3=完全失效）
# 逻辑：攻击方误判率≥10%，偏向中间状态，对X4=3易误判为严重异常
# X4=0（正常）：82%正确观测，18%误判为轻度异常（误判率18%≥10%）
Y_4;X_4;0,1,2,3;0;0.82;0.18;0.00;0.00
# X4=1（轻度异常）：78%正确观测，7%误判为正常，15%误判为严重异常（总误判率22%≥10%）
Y_4;X_4;0,1,2,3;1;0.07;0.78;0.15;0.00
# X4=2（严重异常）：75%正确观测，15%误判为轻度异常，10%误判为瘫痪（总误判率25%≥10%）
Y_4;X_4;0,1,2,3;2;0.00;0.15;0.75;0.10
# X4=3（完全失效）：71%误判为严重异常，19%正确观测，10%误判为轻度异常（符合“偏向中间状态”）
Y_4;X_4;0,1,2,3;3;0.00;0.10;0.71;0.19
