target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.975641;0.016239;0.006496;0.001624
X_4;X_1,X_2;0,1,2,3;0;2;0.677582;0.201511;0.096725;0.024181
X_4;X_1,X_2;0,1,2,3;0;3;0.564569;0.261258;0.130629;0.043543
X_4;X_1,X_2;0,1,2,3;1;0;0.908177;0.068867;0.018365;0.004591
X_4;X_1,X_2;0,1,2,3;1;1;0.608712;0.260859;0.104344;0.026086
X_4;X_1,X_2;0,1,2,3;1;2;0.391047;0.332156;0.221437;0.055359
X_4;X_1,X_2;0,1,2,3;1;3;0.301925;0.375886;0.268490;0.053698
X_4;X_1,X_2;0,1,2,3;2;0;0.620015;0.253324;0.101329;0.025332
X_4;X_1,X_2;0,1,2,3;2;1;0.346394;0.381270;0.217869;0.054467
X_4;X_1,X_2;0,1,2,3;2;2;0.113537;0.227074;0.432315;0.227074
X_4;X_1,X_2;0,1,2,3;2;3;0.055495;0.166486;0.389552;0.388467
X_4;X_1,X_2;0,1,2,3;3;0;0.451373;0.320032;0.182876;0.045719
X_4;X_1,X_2;0,1,2,3;3;1;0.340763;0.282530;0.282530;0.094177
X_4;X_1,X_2;0,1,2,3;3;2;0.044749;0.089499;0.357994;0.507758
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.067067;0.335336;0.597596
