target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.732132;0.178579;0.071432;0.017858
X_4;X_1,X_2;0,1,2,3;0;2;0.682601;0.198374;0.095220;0.023805
X_4;X_1,X_2;0,1,2,3;0;3;0.429960;0.342024;0.171012;0.057004
X_4;X_1,X_2;0,1,2,3;1;0;0.682683;0.237988;0.063463;0.015866
X_4;X_1,X_2;0,1,2,3;1;1;0.790182;0.139878;0.055951;0.013988
X_4;X_1,X_2;0,1,2,3;1;2;0.507797;0.268474;0.178983;0.044746
X_4;X_1,X_2;0,1,2,3;1;3;0.395487;0.325507;0.232505;0.046501
X_4;X_1,X_2;0,1,2,3;2;0;0.472360;0.351760;0.140704;0.035176
X_4;X_1,X_2;0,1,2,3;2;1;0.340532;0.384690;0.219823;0.054956
X_4;X_1,X_2;0,1,2,3;2;2;0.114901;0.229802;0.425494;0.229802
X_4;X_1,X_2;0,1,2,3;2;3;0.055259;0.165778;0.392149;0.386814
X_4;X_1,X_2;0,1,2,3;3;0;0.456360;0.317124;0.181213;0.045303
X_4;X_1,X_2;0,1,2,3;3;1;0.259251;0.317464;0.317464;0.105821
X_4;X_1,X_2;0,1,2,3;3;2;0.044112;0.088224;0.352897;0.514766
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.064648;0.323242;0.612110
