target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.950000;0.040000;0.010000;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.769305;0.153797;0.061519;0.015380
X_4;X_1,X_2;0,1,2,3;0;2;0.654050;0.216219;0.103785;0.025946
X_4;X_1,X_2;0,1,2,3;0;3;0.456639;0.326017;0.163008;0.054336
X_4;X_1,X_2;0,1,2,3;1;0;0.727937;0.204047;0.054413;0.013603
X_4;X_1,X_2;0,1,2,3;1;1;0.754081;0.163946;0.065578;0.016395
X_4;X_1,X_2;0,1,2,3;1;2;0.485260;0.280767;0.187178;0.046795
X_4;X_1,X_2;0,1,2,3;1;3;0.379388;0.334176;0.238697;0.047739
X_4;X_1,X_2;0,1,2,3;2;0;0.506808;0.328795;0.131518;0.032879
X_4;X_1,X_2;0,1,2,3;2;1;0.365731;0.369990;0.211423;0.052856
X_4;X_1,X_2;0,1,2,3;2;2;0.091658;0.183316;0.541709;0.183316
X_4;X_1,X_2;0,1,2,3;2;3;0.046468;0.139404;0.488852;0.325276
X_4;X_1,X_2;0,1,2,3;3;0;0.363541;0.371267;0.212153;0.053038
X_4;X_1,X_2;0,1,2,3;3;1;0.272173;0.311926;0.311926;0.103975
X_4;X_1,X_2;0,1,2,3;3;2;0.046156;0.092312;0.369247;0.492285
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.061469;0.307343;0.631189
