target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.681263;0.229491;0.063747;0.025499
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.661810;0.250511;0.075153;0.012526
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.774743;0.168942;0.056314;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.507302;0.328465;0.131386;0.032847
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.671355;0.240164;0.075841;0.012640
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.658963;0.243598;0.085259;0.012180
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.477027;0.344940;0.144652;0.033381
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.545512;0.290872;0.136346;0.027269
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.789079;0.156238;0.046871;0.007812
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.760470;0.175656;0.055890;0.007984
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.440582;0.376531;0.150612;0.032274
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.414034;0.383541;0.170463;0.031962
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.588536;0.277291;0.116283;0.017890
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.567012;0.288659;0.126288;0.018041
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.454398;0.348057;0.169325;0.028221
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.435817;0.357316;0.178658;0.028209
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.654794;0.246575;0.086301;0.012329
