target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.814860;0.133712;0.041142;0.010286
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.786756;0.159933;0.042649;0.010662
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.791370;0.151731;0.047416;0.009483
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.514755;0.313387;0.121311;0.050546
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.819617;0.135287;0.036077;0.009019
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.786080;0.158114;0.046504;0.009301
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.511642;0.322316;0.126973;0.039069
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.485488;0.336412;0.138522;0.039578
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.796250;0.148182;0.046307;0.009261
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.515531;0.316388;0.118645;0.049436
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.496319;0.325911;0.138265;0.039504
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.458919;0.354162;0.147568;0.039351
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.497402;0.331715;0.130676;0.040208
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.461559;0.355574;0.142230;0.040637
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.263835;0.401298;0.233392;0.101475
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.233252;0.421940;0.253535;0.091273
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.790723;0.154204;0.044058;0.011015
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.800747;0.151812;0.037953;0.009488
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.516970;0.311957;0.120758;0.050316
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.483545;0.334176;0.141772;0.040506
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.802560;0.150430;0.037608;0.009402
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.508667;0.320870;0.120326;0.050136
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.487904;0.331356;0.140575;0.040164
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.454963;0.356752;0.148647;0.039639
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.495116;0.333223;0.131270;0.040391
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.480492;0.343071;0.137229;0.039208
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.259564;0.410990;0.229614;0.099832
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.229734;0.430659;0.249711;0.089896
X_7;X_3,X_4,X_5;0,1,2,3;1;3;0;0.475203;0.346564;0.138626;0.039607
X_7;X_3,X_4,X_5;0,1,2,3;1;3;1;0.264425;0.399960;0.233914;0.101702
X_7;X_3,X_4,X_5;0,1,2,3;1;3;2;0.231922;0.425236;0.252090;0.090752
X_7;X_3,X_4,X_5;0,1,2,3;1;3;3;0.197200;0.447841;0.266220;0.088740
X_7;X_3,X_4,X_5;0,1,2,3;2;0;0;0.791700;0.158705;0.039676;0.009919
X_7;X_3,X_4,X_5;0,1,2,3;2;0;1;0.506501;0.322285;0.120857;0.050357
X_7;X_3,X_4,X_5;0,1,2,3;2;0;2;0.483194;0.334404;0.141868;0.040534
X_7;X_3,X_4,X_5;0,1,2,3;2;0;3;0.457038;0.355393;0.148081;0.039488
X_7;X_3,X_4,X_5;0,1,2,3;2;1;0;0.496558;0.332271;0.130895;0.040275
X_7;X_3,X_4,X_5;0,1,2,3;2;1;1;0.458780;0.357410;0.142964;0.040847
X_7;X_3,X_4,X_5;0,1,2,3;2;1;2;0.261785;0.405950;0.231579;0.100686
X_7;X_3,X_4,X_5;0,1,2,3;2;1;3;0.231617;0.425993;0.251757;0.090633
X_7;X_3,X_4,X_5;0,1,2,3;2;2;0;0.461558;0.355575;0.142230;0.040637
X_7;X_3,X_4,X_5;0,1,2,3;2;2;1;0.258055;0.414413;0.228280;0.099252
X_7;X_3,X_4,X_5;0,1,2,3;2;2;2;0.227461;0.436292;0.247240;0.089007
