target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.958996;0.032803;0.008201;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.856546;0.095636;0.038254;0.009564
X_4;X_1,X_2;0,1,2,3;0;2;0.604028;0.247482;0.118792;0.029698
X_4;X_1,X_2;0,1,2,3;0;3;0.492894;0.304263;0.152132;0.050711
X_4;X_1,X_2;0,1,2,3;1;0;0.794383;0.154213;0.041123;0.010281
X_4;X_1,X_2;0,1,2,3;1;1;0.707014;0.195324;0.078130;0.019532
X_4;X_1,X_2;0,1,2,3;1;2;0.444106;0.303215;0.202143;0.050536
X_4;X_1,X_2;0,1,2,3;1;3;0.346740;0.351756;0.251254;0.050251
X_4;X_1,X_2;0,1,2,3;2;0;0.538618;0.307588;0.123035;0.030759
X_4;X_1,X_2;0,1,2,3;2;1;0.403923;0.347712;0.198692;0.049673
X_4;X_1,X_2;0,1,2,3;2;2;0.099844;0.199687;0.500782;0.199687
X_4;X_1,X_2;0,1,2,3;2;3;0.049157;0.147471;0.459273;0.344099
X_4;X_1,X_2;0,1,2,3;3;0;0.390746;0.355398;0.203085;0.050771
X_4;X_1,X_2;0,1,2,3;3;1;0.305076;0.297825;0.297825;0.099275
X_4;X_1,X_2;0,1,2,3;3;2;0.049267;0.098535;0.394140;0.458058
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.052157;0.260786;0.687057
