target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.996789;0.002569;0.000642;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.871681;0.085546;0.034218;0.008555
X_4;X_1,X_2;0,1,2,3;0;2;0.628681;0.232074;0.111396;0.027849
X_4;X_1,X_2;0,1,2,3;0;3;0.480895;0.311463;0.155732;0.051911
X_4;X_1,X_2;0,1,2,3;1;0;0.775240;0.168570;0.044952;0.011238
X_4;X_1,X_2;0,1,2,3;1;1;0.722963;0.184691;0.073877;0.018469
X_4;X_1,X_2;0,1,2,3;1;2;0.465135;0.291745;0.194496;0.048624
X_4;X_1,X_2;0,1,2,3;1;3;0.359530;0.344868;0.246334;0.049267
X_4;X_1,X_2;0,1,2,3;2;0;0.533801;0.310799;0.124320;0.031080
X_4;X_1,X_2;0,1,2,3;2;1;0.413655;0.342035;0.195448;0.048862
X_4;X_1,X_2;0,1,2,3;2;2;0.104236;0.208473;0.478818;0.208473
X_4;X_1,X_2;0,1,2,3;2;3;0.048320;0.144960;0.468481;0.338240
X_4;X_1,X_2;0,1,2,3;3;0;0.386139;0.358085;0.204620;0.051155
X_4;X_1,X_2;0,1,2,3;3;1;0.287512;0.305352;0.305352;0.101784
X_4;X_1,X_2;0,1,2,3;3;2;0.051526;0.103051;0.412206;0.433217
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.046129;0.230644;0.723227
