target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.804698;0.141051;0.043400;0.010850
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.796180;0.152865;0.040764;0.010191
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.793716;0.150025;0.046883;0.009377
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.508573;0.317380;0.122857;0.051190
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.788391;0.158707;0.042322;0.010580
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.768901;0.170813;0.050239;0.010048
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.489846;0.336702;0.132640;0.040812
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.475805;0.342743;0.141129;0.040323
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.795759;0.148539;0.046418;0.009284
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.500439;0.326244;0.122341;0.050976
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.477879;0.337843;0.143327;0.040951
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.440143;0.366452;0.152688;0.040717
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.508794;0.324196;0.127713;0.039296
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.462991;0.354629;0.141851;0.040529
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.263561;0.401919;0.233150;0.101370
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.232263;0.424391;0.252460;0.090886
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.821992;0.131164;0.037475;0.009369
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.774206;0.172033;0.043008;0.010752
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.514298;0.313682;0.121425;0.050594
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.495644;0.326348;0.138451;0.039557
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.775486;0.171059;0.042765;0.010691
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.515550;0.316375;0.118641;0.049434
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.487966;0.331316;0.140558;0.040160
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.453382;0.357786;0.149078;0.039754
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.508966;0.324082;0.127669;0.039283
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.480620;0.342987;0.137195;0.039198
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.262751;0.403757;0.232434;0.101058
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.233330;0.421747;0.253620;0.091303
X_7;X_3,X_4,X_5;0,1,2,3;1;3;0;0.481167;0.342626;0.137050;0.039157
