target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.935768;0.051386;0.012846;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.838818;0.107455;0.042982;0.010745
X_4;X_1,X_2;0,1,2,3;0;2;0.599921;0.250050;0.120024;0.030006
X_4;X_1,X_2;0,1,2,3;0;3;0.501061;0.299363;0.149682;0.049894
X_4;X_1,X_2;0,1,2,3;1;0;0.792933;0.155300;0.041413;0.010353
X_4;X_1,X_2;0,1,2,3;1;1;0.688173;0.207885;0.083154;0.020788
X_4;X_1,X_2;0,1,2,3;1;2;0.453932;0.297855;0.198570;0.049643
X_4;X_1,X_2;0,1,2,3;1;3;0.344375;0.353029;0.252164;0.050433
X_4;X_1,X_2;0,1,2,3;2;0;0.551558;0.298961;0.119585;0.029896
X_4;X_1,X_2;0,1,2,3;2;1;0.397898;0.351226;0.200701;0.050175
X_4;X_1,X_2;0,1,2,3;2;2;0.100994;0.201989;0.495029;0.201989
X_4;X_1,X_2;0,1,2,3;2;3;0.050531;0.151594;0.444156;0.353719
X_4;X_1,X_2;0,1,2,3;3;0;0.405929;0.346541;0.198024;0.049506
X_4;X_1,X_2;0,1,2,3;3;1;0.297812;0.300938;0.300938;0.100313
X_4;X_1,X_2;0,1,2,3;3;2;0.050271;0.100542;0.402168;0.447019
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.048395;0.241977;0.709628
