target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.910239;0.071809;0.017952;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.821101;0.119266;0.047706;0.011927
X_4;X_1,X_2;0,1,2,3;0;2;0.623697;0.235189;0.112891;0.028223
X_4;X_1,X_2;0,1,2,3;0;3;0.516296;0.290222;0.145111;0.048370
X_4;X_1,X_2;0,1,2,3;1;0;0.838747;0.120940;0.032251;0.008063
X_4;X_1,X_2;0,1,2,3;1;1;0.668417;0.221055;0.088422;0.022106
X_4;X_1,X_2;0,1,2,3;1;2;0.437624;0.306750;0.204500;0.051125
X_4;X_1,X_2;0,1,2,3;1;3;0.338033;0.356444;0.254603;0.050921
X_4;X_1,X_2;0,1,2,3;2;0;0.574553;0.283631;0.113452;0.028363
X_4;X_1,X_2;0,1,2,3;2;1;0.419495;0.338628;0.193502;0.048375
X_4;X_1,X_2;0,1,2,3;2;2;0.096082;0.192165;0.519588;0.192165
X_4;X_1,X_2;0,1,2,3;2;3;0.048913;0.146739;0.461957;0.342391
X_4;X_1,X_2;0,1,2,3;3;0;0.410827;0.343684;0.196391;0.049098
X_4;X_1,X_2;0,1,2,3;3;1;0.291105;0.303812;0.303812;0.101271
X_4;X_1,X_2;0,1,2,3;3;2;0.051993;0.103986;0.415943;0.428078
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.044724;0.223621;0.731655
