target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.781964;0.157471;0.048452;0.012113
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.835537;0.123347;0.032893;0.008223
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.818103;0.132289;0.041340;0.008268
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.541905;0.295853;0.114524;0.047718
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.760786;0.179410;0.047843;0.011961
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.741415;0.191128;0.056214;0.011243
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.484848;0.340000;0.133940;0.041212
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.493787;0.330985;0.136288;0.038939
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.809986;0.138192;0.043185;0.008637
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.491522;0.332068;0.124525;0.051886
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.475076;0.339657;0.144097;0.041171
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.434944;0.369855;0.154106;0.041095
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.477574;0.344801;0.135831;0.041794
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.486403;0.339168;0.135667;0.038762
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.266689;0.394822;0.235917;0.102573
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.225124;0.442085;0.244700;0.088092
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.787892;0.156290;0.044654;0.011164
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.827271;0.131603;0.032901;0.008225
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.543751;0.294661;0.114062;0.047526
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.477603;0.338021;0.143403;0.040972
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.754960;0.186697;0.046674;0.011669
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.532489;0.305313;0.114492;0.047705
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.475212;0.339569;0.144060;0.041160
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.437274;0.368330;0.153471;0.040926
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.475863;0.345930;0.136276;0.041931
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.449082;0.363813;0.145525;0.041579
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.252352;0.427355;0.223234;0.097058
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.235565;0.416207;0.256049;0.092178
X_7;X_3,X_4,X_5;0,1,2,3;1;3;0;0.488678;0.337666;0.135066;0.038590
X_7;X_3,X_4,X_5;0,1,2,3;1;3;1;0.254425;0.422652;0.225068;0.097856
X_7;X_3,X_4,X_5;0,1,2,3;1;3;2;0.236706;0.413381;0.257289;0.092624
X_7;X_3,X_4,X_5;0,1,2,3;1;3;3;0.207746;0.418312;0.280456;0.093485
X_7;X_3,X_4,X_5;0,1,2,3;2;0;0;0.817019;0.139414;0.034854;0.008713
X_7;X_3,X_4,X_5;0,1,2,3;2;0;1;0.491342;0.332185;0.124569;0.051904
X_7;X_3,X_4,X_5;0,1,2,3;2;0;2;0.473400;0.340741;0.144557;0.041302
X_7;X_3,X_4,X_5;0,1,2,3;2;0;3;0.431193;0.372310;0.155129;0.041368
X_7;X_3,X_4,X_5;0,1,2,3;2;1;0;0.484307;0.340357;0.134080;0.041255
X_7;X_3,X_4,X_5;0,1,2,3;2;1;1;0.483774;0.340904;0.136361;0.038960
X_7;X_3,X_4,X_5;0,1,2,3;2;1;2;0.253220;0.425384;0.224003;0.097392
X_7;X_3,X_4,X_5;0,1,2,3;2;1;3;0.221564;0.450908;0.240830;0.086699
X_7;X_3,X_4,X_5;0,1,2,3;2;2;0;0.482175;0.341960;0.136784;0.039081
X_7;X_3,X_4,X_5;0,1,2,3;2;2;1;0.264729;0.399268;0.234184;0.101819
X_7;X_3,X_4,X_5;0,1,2,3;2;2;2;0.238457;0.409042;0.259192;0.093309
X_7;X_3,X_4,X_5;0,1,2,3;2;2;3;0.207168;0.419929;0.279677;0.093226
X_7;X_3,X_4,X_5;0,1,2,3;2;3;0;0.267038;0.394028;0.236226;0.102707
X_7;X_3,X_4,X_5;0,1,2,3;2;3;1;0.221796;0.450332;0.241082;0.086790
X_7;X_3,X_4,X_5;0,1,2,3;2;3;2;0.087014;0.251373;0.429576;0.232037
X_7;X_3,X_4,X_5;0,1,2,3;2;3;3;0.072095;0.278079;0.412944;0.236882
X_7;X_3,X_4,X_5;0,1,2,3;3;0;0;0.519424;0.317180;0.124950;0.038446
X_7;X_3,X_4,X_5;0,1,2,3;3;0;1;0.485088;0.340037;0.136015;0.038861
X_7;X_3,X_4,X_5;0,1,2,3;3;0;2;0.253023;0.425833;0.223828;0.097317
X_7;X_3,X_4,X_5;0,1,2,3;3;0;3;0.225116;0.442103;0.244692;0.088089
X_7;X_3,X_4,X_5;0,1,2,3;3;1;0;0.482240;0.341917;0.136767;0.039076
X_7;X_3,X_4,X_5;0,1,2,3;3;1;1;0.267849;0.392188;0.236944;0.103019
X_7;X_3,X_4,X_5;0,1,2,3;3;1;2;0.234499;0.418850;0.254891;0.091761
X_7;X_3,X_4,X_5;0,1,2,3;3;1;3;0.193553;0.458051;0.261297;0.087099
X_7;X_3,X_4,X_5;0,1,2,3;3;2;0;0.252405;0.427235;0.223281;0.097079
X_7;X_3,X_4,X_5;0,1,2,3;3;2;1;0.235702;0.415869;0.256198;0.092231
X_7;X_3,X_4,X_5;0,1,2,3;3;2;2;0.092587;0.267473;0.393041;0.246898
X_7;X_3,X_4,X_5;0,1,2,3;3;2;3;0.068452;0.264031;0.442602;0.224915
X_7;X_3,X_4,X_5;0,1,2,3;3;3;0;0.224095;0.444634;0.243582;0.087689
X_7;X_3,X_4,X_5;0,1,2,3;3;3;1;0.193009;0.459575;0.260562;0.086854
X_7;X_3,X_4,X_5;0,1,2,3;3;3;2;0.067842;0.261675;0.447576;0.222908
X_7;X_3,X_4,X_5;0,1,2,3;3;3;3;0.051019;0.163262;0.367339;0.418379
