target_variable;parents;target_values;X_3(parent_1);X_4(parent_2);X_5(parent_3);X_7=0;X_7=1;X_7=2;X_7=3
X_7;X_3,X_4,X_5;0,1,2,3;0;0;0;0.859612;0.101391;0.031197;0.007799
X_7;X_3,X_4,X_5;0,1,2,3;0;0;1;0.827002;0.129748;0.034600;0.008650
X_7;X_3,X_4,X_5;0,1,2,3;0;0;2;0.806981;0.140378;0.043868;0.008774
X_7;X_3,X_4,X_5;0,1,2,3;0;0;3;0.499807;0.323041;0.125048;0.052103
X_7;X_3,X_4,X_5;0,1,2,3;0;1;0;0.822408;0.133194;0.035518;0.008880
X_7;X_3,X_4,X_5;0,1,2,3;0;1;1;0.739061;0.192868;0.056726;0.011345
X_7;X_3,X_4,X_5;0,1,2,3;0;1;2;0.518652;0.317690;0.125151;0.038508
X_7;X_3,X_4,X_5;0,1,2,3;0;1;3;0.462995;0.351118;0.144578;0.041308
X_7;X_3,X_4,X_5;0,1,2,3;0;2;0;0.746125;0.184637;0.057699;0.011540
X_7;X_3,X_4,X_5;0,1,2,3;0;2;1;0.525067;0.310160;0.116310;0.048463
X_7;X_3,X_4,X_5;0,1,2,3;0;2;2;0.504882;0.320370;0.135915;0.038833
X_7;X_3,X_4,X_5;0,1,2,3;0;2;3;0.470137;0.346820;0.144508;0.038536
X_7;X_3,X_4,X_5;0,1,2,3;0;3;0;0.480078;0.343149;0.135180;0.041594
X_7;X_3,X_4,X_5;0,1,2,3;0;3;1;0.488473;0.337801;0.135120;0.038606
X_7;X_3,X_4,X_5;0,1,2,3;0;3;2;0.252781;0.426381;0.223614;0.097224
X_7;X_3,X_4,X_5;0,1,2,3;0;3;3;0.223618;0.445815;0.243063;0.087503
X_7;X_3,X_4,X_5;0,1,2,3;1;0;0;0.837841;0.119486;0.034139;0.008535
X_7;X_3,X_4,X_5;0,1,2,3;1;0;1;0.827706;0.131272;0.032818;0.008204
X_7;X_3,X_4,X_5;0,1,2,3;1;0;2;0.542325;0.295582;0.114419;0.047674
X_7;X_3,X_4,X_5;0,1,2,3;1;0;3;0.476691;0.338612;0.143653;0.041044
X_7;X_3,X_4,X_5;0,1,2,3;1;1;0;0.760516;0.182464;0.045616;0.011404
X_7;X_3,X_4,X_5;0,1,2,3;1;1;1;0.526893;0.308968;0.115863;0.048276
X_7;X_3,X_4,X_5;0,1,2,3;1;1;2;0.502291;0.322047;0.136626;0.039036
X_7;X_3,X_4,X_5;0,1,2,3;1;1;3;0.431081;0.372383;0.155160;0.041376
X_7;X_3,X_4,X_5;0,1,2,3;1;2;0;0.483924;0.340610;0.134180;0.041286
X_7;X_3,X_4,X_5;0,1,2,3;1;2;1;0.455829;0.359358;0.143743;0.041070
X_7;X_3,X_4,X_5;0,1,2,3;1;2;2;0.253918;0.423802;0.224620;0.097661
X_7;X_3,X_4,X_5;0,1,2,3;1;2;3;0.224716;0.443095;0.244256;0.087932
X_7;X_3,X_4,X_5;0,1,2,3;1;3;0;0.454226;0.360417;0.144167;0.041191
X_7;X_3,X_4,X_5;0,1,2,3;1;3;1;0.255386;0.420470;0.225918;0.098225
X_7;X_3,X_4,X_5;0,1,2,3;1;3;2;0.221655;0.450680;0.240930;0.086735
X_7;X_3,X_4,X_5;0,1,2,3;1;3;3;0.206946;0.420550;0.279378;0.093126
X_7;X_3,X_4,X_5;0,1,2,3;2;0;0;0.762274;0.181124;0.045281;0.011320
X_7;X_3,X_4,X_5;0,1,2,3;2;0;1;0.524712;0.310392;0.116397;0.048499
X_7;X_3,X_4,X_5;0,1,2,3;2;0;2;0.471522;0.341956;0.145072;0.041449
X_7;X_3,X_4,X_5;0,1,2,3;2;0;3;0.431602;0.372042;0.155018;0.041338
X_7;X_3,X_4,X_5;0,1,2,3;2;1;0;0.521000;0.316140;0.124540;0.038320
X_7;X_3,X_4,X_5;0,1,2,3;2;1;1;0.489269;0.337275;0.134910;0.038546
X_7;X_3,X_4,X_5;0,1,2,3;2;1;2;0.252144;0.427827;0.223050;0.096978
X_7;X_3,X_4,X_5;0,1,2,3;2;1;3;0.222485;0.448625;0.241831;0.087059
X_7;X_3,X_4,X_5;0,1,2,3;2;2;0;0.483541;0.341058;0.136423;0.038978
X_7;X_3,X_4,X_5;0,1,2,3;2;2;1;0.252491;0.427039;0.223358;0.097112
X_7;X_3,X_4,X_5;0,1,2,3;2;2;2;0.235682;0.415918;0.256176;0.092223
X_7;X_3,X_4,X_5;0,1,2,3;2;2;3;0.195059;0.453835;0.263330;0.087777
X_7;X_3,X_4,X_5;0,1,2,3;2;3;0;0.253579;0.424571;0.224320;0.097530
X_7;X_3,X_4,X_5;0,1,2,3;2;3;1;0.224107;0.444605;0.243594;0.087694
X_7;X_3,X_4,X_5;0,1,2,3;2;3;2;0.088379;0.255317;0.420627;0.235677
X_7;X_3,X_4,X_5;0,1,2,3;2;3;3;0.067424;0.260064;0.450976;0.221536
X_7;X_3,X_4,X_5;0,1,2,3;3;0;0;0.516211;0.319300;0.125785;0.038703
X_7;X_3,X_4,X_5;0,1,2,3;3;0;1;0.453366;0.360985;0.144394;0.041255
X_7;X_3,X_4,X_5;0,1,2,3;3;0;2;0.264911;0.398855;0.234345;0.101889
X_7;X_3,X_4,X_5;0,1,2,3;3;0;3;0.224037;0.444778;0.243518;0.087667
X_7;X_3,X_4,X_5;0,1,2,3;3;1;0;0.455113;0.359831;0.143933;0.041124
X_7;X_3,X_4,X_5;0,1,2,3;3;1;1;0.254790;0.421824;0.225391;0.097996
X_7;X_3,X_4,X_5;0,1,2,3;3;1;2;0.237453;0.411531;0.258101;0.092916
X_7;X_3,X_4,X_5;0,1,2,3;3;1;3;0.203995;0.428814;0.275393;0.091798
X_7;X_3,X_4,X_5;0,1,2,3;3;2;0;0.253089;0.425684;0.223886;0.097342
X_7;X_3,X_4,X_5;0,1,2,3;3;2;1;0.234408;0.419076;0.254791;0.091725
X_7;X_3,X_4,X_5;0,1,2,3;3;2;2;0.086929;0.251129;0.430129;0.231812
X_7;X_3,X_4,X_5;0,1,2,3;3;2;3;0.071976;0.277621;0.413911;0.236492
X_7;X_3,X_4,X_5;0,1,2,3;3;3;0;0.237428;0.411591;0.258074;0.092907
X_7;X_3,X_4,X_5;0,1,2,3;3;3;1;0.205713;0.424005;0.277712;0.092571
X_7;X_3,X_4,X_5;0,1,2,3;3;3;2;0.067476;0.260264;0.450553;0.221707
X_7;X_3,X_4,X_5;0,1,2,3;3;3;3;0.048438;0.155003;0.348757;0.447802
