target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.919603;0.064317;0.016079;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.888559;0.074294;0.029717;0.007429
X_4;X_1,X_2;0,1,2,3;0;2;0.575429;0.265357;0.127371;0.031843
X_4;X_1,X_2;0,1,2,3;0;3;0.517948;0.289231;0.144616;0.048205
X_4;X_1,X_2;0,1,2,3;1;0;0.829189;0.128108;0.034162;0.008541
X_4;X_1,X_2;0,1,2,3;1;1;0.718686;0.187543;0.075017;0.018754
X_4;X_1,X_2;0,1,2,3;1;2;0.430410;0.310686;0.207124;0.051781
X_4;X_1,X_2;0,1,2,3;1;3;0.335662;0.357720;0.255514;0.051103
X_4;X_1,X_2;0,1,2,3;2;0;0.569121;0.287253;0.114901;0.028725
X_4;X_1,X_2;0,1,2,3;2;1;0.411880;0.343070;0.196040;0.049010
X_4;X_1,X_2;0,1,2,3;2;2;0.097233;0.194467;0.513833;0.194467
X_4;X_1,X_2;0,1,2,3;2;3;0.048880;0.146640;0.462320;0.342160
X_4;X_1,X_2;0,1,2,3;3;0;0.417347;0.339881;0.194218;0.048554
X_4;X_1,X_2;0,1,2,3;3;1;0.289942;0.304311;0.304311;0.101437
X_4;X_1,X_2;0,1,2,3;3;2;0.048259;0.096518;0.386073;0.469149
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.053634;0.268172;0.678194
