target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.766198;0.168338;0.046760;0.018704
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.724476;0.204092;0.061228;0.010205
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.702350;0.223238;0.074413;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.553819;0.297454;0.118982;0.029745
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.755983;0.178320;0.056312;0.009385
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.736599;0.188144;0.065850;0.009407
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.523864;0.314047;0.131697;0.030392
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.489002;0.327038;0.153299;0.030660
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.723486;0.204825;0.061447;0.010241
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.696147;0.222826;0.070899;0.010128
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.485690;0.346170;0.138468;0.029672
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.455997;0.356075;0.158255;0.029673
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.539232;0.310518;0.130217;0.020033
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.507761;0.328159;0.143570;0.020510
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.428000;0.364896;0.177517;0.029586
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.403818;0.377582;0.188791;0.029809
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.707440;0.208971;0.073140;0.010449
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.704398;0.206922;0.078827;0.009853
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.516888;0.322075;0.130843;0.030194
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.506767;0.325534;0.138105;0.029594
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.715185;0.206245;0.068748;0.009821
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.679275;0.220498;0.080181;0.020045
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.490144;0.339904;0.149958;0.019994
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.461093;0.349291;0.159676;0.029939
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.497466;0.338441;0.143581;0.020512
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.478346;0.341082;0.150477;0.030095
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.279868;0.410277;0.229892;0.079962
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.252123;0.415074;0.252123;0.080679
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.433236;0.364348;0.172053;0.030362
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.411182;0.369259;0.189620;0.029940
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.222924;0.422425;0.263455;0.091196
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.189385;0.441814;0.279093;0.089708
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.693721;0.214395;0.081674;0.010209
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.670459;0.226560;0.092684;0.010298
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;2;0.503207;0.327883;0.139102;0.029808
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;3;0.470374;0.339760;0.159887;0.029979
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;0;0.669435;0.230393;0.090154;0.010017
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;1;0.640661;0.246404;0.102668;0.010267
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;2;0.461075;0.349303;0.159682;0.029940
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;3;0.423743;0.363952;0.181976;0.030329
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;0;0.444514;0.363591;0.161596;0.030299
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;1;0.430226;0.363477;0.176827;0.029471
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;2;0.252598;0.413973;0.252598;0.080831
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;3;0.217884;0.435482;0.257500;0.089134
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;0;0.387551;0.381526;0.200803;0.030120
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;1;0.355050;0.398388;0.216975;0.029587
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;2;0.148013;0.388213;0.345364;0.118410
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;3;0.119828;0.390876;0.359483;0.129813
