target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.968857;0.024914;0.006229;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.854890;0.096740;0.038696;0.009674
X_4;X_1,X_2;0,1,2,3;0;2;0.589361;0.256649;0.123192;0.030798
X_4;X_1,X_2;0,1,2,3;0;3;0.505535;0.296679;0.148339;0.049446
X_4;X_1,X_2;0,1,2,3;1;0;0.787532;0.159351;0.042494;0.010623
X_4;X_1,X_2;0,1,2,3;1;1;0.714421;0.190386;0.076154;0.019039
X_4;X_1,X_2;0,1,2,3;1;2;0.450844;0.299540;0.199693;0.049923
X_4;X_1,X_2;0,1,2,3;1;3;0.341763;0.354435;0.253168;0.050634
X_4;X_1,X_2;0,1,2,3;2;0;0.546111;0.302592;0.121037;0.030259
X_4;X_1,X_2;0,1,2,3;2;1;0.407337;0.345720;0.197554;0.049389
X_4;X_1,X_2;0,1,2,3;2;2;0.101985;0.203971;0.490073;0.203971
X_4;X_1,X_2;0,1,2,3;2;3;0.050393;0.151180;0.445673;0.352754
X_4;X_1,X_2;0,1,2,3;3;0;0.402673;0.348441;0.199109;0.049777
X_4;X_1,X_2;0,1,2,3;3;1;0.303283;0.298593;0.298593;0.099531
X_4;X_1,X_2;0,1,2,3;3;2;0.049978;0.099956;0.399824;0.450242
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.049253;0.246265;0.704482
