target_variable;parents;target_values;X_1(parent_1);A_1(parent_2);D_1(parent_3);X_1_t1=0;X_1_t1=1;X_1_t1=2;X_1_t1=3
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;0;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;0;1;1.000000;0.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;0;0.281673;0.436654;0.187782;0.093891
X_1_t1;X_1,A_1,D_1;0,1,2,3;0;1;1;0.456747;0.325952;0.162976;0.054325
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;0;0.000000;1.000000;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;0;1;0.351817;0.648183;0.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;0;0.000000;0.329642;0.450597;0.219761
X_1_t1;X_1,A_1,D_1;0,1,2,3;1;1;1;0.218497;0.453757;0.273121;0.054624
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;0;0.000000;0.000000;1.000000;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;0;1;0.114177;0.342530;0.543293;0.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;0;0.000000;0.000000;0.455679;0.544321
X_1_t1;X_1,A_1,D_1;0,1,2,3;2;1;1;0.045066;0.180266;0.594402;0.180266
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;0;1;0.000000;0.111332;0.333997;0.554670
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;0;0.000000;0.000000;0.000000;1.000000
X_1_t1;X_1,A_1,D_1;0,1,2,3;3;1;1;0.000000;0.059202;0.296010;0.644788
