target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.676467;0.232944;0.064707;0.025883
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.785339;0.159008;0.047702;0.007950
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.788889;0.158333;0.052778;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.503456;0.331029;0.132412;0.033103
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.666813;0.243483;0.076889;0.012815
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.789003;0.150712;0.052749;0.007536
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.581314;0.276155;0.115807;0.026725
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.545021;0.291186;0.136494;0.027299
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.661827;0.250498;0.075150;0.012525
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.762453;0.174201;0.055428;0.007918
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.437209;0.378802;0.151521;0.032469
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.491009;0.333158;0.148070;0.027763
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.496303;0.339448;0.142349;0.021900
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.476534;0.348977;0.152678;0.021811
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.459532;0.344781;0.167731;0.027955
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.439874;0.354747;0.177373;0.028006
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.659390;0.243293;0.085153;0.012165
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.632846;0.257007;0.097908;0.012238
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.568180;0.287880;0.116951;0.026989
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.458266;0.357545;0.151686;0.032504
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.653982;0.250565;0.083522;0.011932
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.623098;0.259120;0.094225;0.023556
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.449719;0.366854;0.161847;0.021580
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.504519;0.321145;0.146809;0.027527
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.549744;0.303233;0.128644;0.018378
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.436146;0.368674;0.162650;0.032530
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.296483;0.375267;0.243540;0.084710
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.264635;0.386048;0.264635;0.084683
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.399327;0.386147;0.182347;0.032179
