target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.865667;0.107467;0.026867;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.784357;0.143762;0.057505;0.014376
X_4;X_1,X_2;0,1,2,3;0;2;0.652835;0.216978;0.104149;0.026037
X_4;X_1,X_2;0,1,2,3;0;3;0.537675;0.277395;0.138697;0.046232
X_4;X_1,X_2;0,1,2,3;1;0;0.861511;0.103866;0.027698;0.006924
X_4;X_1,X_2;0,1,2,3;1;1;0.758462;0.161026;0.064410;0.016103
X_4;X_1,X_2;0,1,2,3;1;2;0.411170;0.321180;0.214120;0.053530
X_4;X_1,X_2;0,1,2,3;1;3;0.322952;0.364564;0.260403;0.052081
X_4;X_1,X_2;0,1,2,3;2;0;0.600988;0.266008;0.106403;0.026601
X_4;X_1,X_2;0,1,2,3;2;1;0.364713;0.370584;0.211762;0.052941
X_4;X_1,X_2;0,1,2,3;2;2;0.109237;0.218473;0.453817;0.218473
X_4;X_1,X_2;0,1,2,3;2;3;0.046292;0.138876;0.490787;0.324044
X_4;X_1,X_2;0,1,2,3;3;0;0.436354;0.328793;0.187882;0.046970
X_4;X_1,X_2;0,1,2,3;3;1;0.273550;0.311336;0.311336;0.103779
X_4;X_1,X_2;0,1,2,3;3;2;0.053072;0.106144;0.424574;0.416211
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.039952;0.199758;0.760291
