target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4=0;X_4=1;X_4=2;X_4=3
X_4;X_1,X_2;0,1,2,3;0;0;0.996357;0.002914;0.000729;0.000000
X_4;X_1,X_2;0,1,2,3;0;1;0.814296;0.123803;0.049521;0.012380
X_4;X_1,X_2;0,1,2,3;0;2;0.628735;0.232040;0.111379;0.027845
X_4;X_1,X_2;0,1,2,3;0;3;0.516671;0.289997;0.144999;0.048333
X_4;X_1,X_2;0,1,2,3;1;0;0.766872;0.174846;0.046626;0.011656
X_4;X_1,X_2;0,1,2,3;1;1;0.721844;0.185437;0.074175;0.018544
X_4;X_1,X_2;0,1,2,3;1;2;0.464820;0.291916;0.194611;0.048653
X_4;X_1,X_2;0,1,2,3;1;3;0.336686;0.357169;0.255121;0.051024
X_4;X_1,X_2;0,1,2,3;2;0;0.568230;0.287847;0.115139;0.028785
X_4;X_1,X_2;0,1,2,3;2;1;0.416214;0.340542;0.194595;0.048649
X_4;X_1,X_2;0,1,2,3;2;2;0.104324;0.208649;0.478378;0.208649
X_4;X_1,X_2;0,1,2,3;2;3;0.051945;0.155836;0.428600;0.363618
X_4;X_1,X_2;0,1,2,3;3;0;0.415315;0.341066;0.194895;0.048724
X_4;X_1,X_2;0,1,2,3;3;1;0.292425;0.303247;0.303247;0.101082
X_4;X_1,X_2;0,1,2,3;3;2;0.048176;0.096353;0.385411;0.470060
X_4;X_1,X_2;0,1,2,3;3;3;0.000000;0.053656;0.268282;0.678062
