target_variable;parents;target_values;X_1(parent_1);X_2(parent_2);X_4(parent_3);X_5(parent_4);X_3=0;X_3=1;X_3=2;X_3=3
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;0;0.722972;0.199460;0.055406;0.022162
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;1;0.765199;0.173926;0.052178;0.008696
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;2;0.684933;0.236300;0.078767;0.000000
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;0;3;0.564528;0.290315;0.116126;0.029031
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;0;0.770382;0.167798;0.052989;0.008831
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;1;0.746113;0.181348;0.063472;0.009067
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;2;0.505921;0.325882;0.136660;0.031537
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;1;3;0.520518;0.306868;0.143845;0.028769
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;0;0.759821;0.177910;0.053373;0.008896
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;1;0.677560;0.236456;0.075236;0.010748
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;2;0.459329;0.363913;0.145565;0.031193
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;2;3;0.463492;0.351169;0.156075;0.029264
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;0;0.555970;0.299238;0.125487;0.019306
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;1;0.540341;0.306439;0.134067;0.019152
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;2;0.439671;0.357451;0.173895;0.028983
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;0;3;3;0.419600;0.367587;0.183793;0.029020
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;0;0.755630;0.174550;0.061093;0.008728
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;1;0.723073;0.193849;0.073847;0.009231
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;2;0.505804;0.329464;0.133845;0.030887
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;0;3;0.524433;0.313874;0.133159;0.028534
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;0;0.678588;0.232747;0.077582;0.011083
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;1;0.713519;0.196955;0.071620;0.017905
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;2;0.503047;0.331302;0.146163;0.019488
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;1;3;0.479913;0.337094;0.154100;0.028894
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;0;0.534941;0.313203;0.132874;0.018982
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;1;0.467313;0.348296;0.153660;0.030732
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;2;0.272189;0.426459;0.223584;0.077768
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;2;3;0.243479;0.435128;0.243479;0.077913
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;0;0.426777;0.368500;0.174014;0.030708
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;1;0.424179;0.361108;0.185434;0.029279
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;2;0.225348;0.416144;0.266320;0.092188
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;1;3;3;0.184838;0.455215;0.272393;0.087555
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;0;0.667742;0.232581;0.088602;0.011075
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;1;0.661119;0.232981;0.095310;0.010590
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;2;0.481366;0.342298;0.145217;0.031118
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;0;3;0.486404;0.329476;0.155048;0.029071
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;0;0.651073;0.243192;0.095162;0.010574
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;1;0.618409;0.261662;0.109026;0.010903
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;2;0.471691;0.342423;0.156536;0.029351
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;1;3;0.451495;0.346425;0.173212;0.028869
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;0;0.470428;0.346629;0.154057;0.028886
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;1;0.400141;0.382669;0.186163;0.031027
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;2;0.257100;0.403528;0.257100;0.082272
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;2;3;0.227826;0.409722;0.269249;0.093202
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;0;0.404739;0.370818;0.195168;0.029275
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;1;0.353061;0.401758;0.215760;0.029422
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;2;0.147220;0.391489;0.343514;0.117776
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;2;3;3;0.123556;0.371924;0.370668;0.133852
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;0;0;0.681428;0.218449;0.081919;0.018204
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;0;1;0.589449;0.270100;0.108040;0.032412
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;0;2;0.502436;0.334899;0.133959;0.028706
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;0;3;0.427686;0.374606;0.166491;0.031217
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;1;0;0.629777;0.240645;0.101811;0.027767
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;1;1;0.545691;0.285264;0.137349;0.031696
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;1;2;0.285362;0.398701;0.234405;0.081532
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;1;3;0.255785;0.406579;0.255785;0.081851
X_3;X_1,X_2,X_4,X_5;0,1,2,3;0;3;2;0;0.214294;0.444785;0.253256;0.087666
